"Technology","Age","Value","Year","Mode"
"HEB-D",13,0,2006,"Public bus"
"CNGB",13,0,2006,"Public bus"
"EB",13,0,2006,"Public bus"
"ICEB-D",14,187,2006,"Public bus"
"HEB-D",14,0,2006,"Public bus"
"CNGB",14,0,2006,"Public bus"
"EB",14,0,2006,"Public bus"
"ICEB-D",15,184,2006,"Public bus"
"HEB-D",15,0,2006,"Public bus"
"CNGB",15,0,2006,"Public bus"
"EB",15,0,2006,"Public bus"
"ICEB-D",16,142,2006,"Public bus"
"HEB-D",16,0,2006,"Public bus"
"CNGB",16,0,2006,"Public bus"
"EB",16,0,2006,"Public bus"
"ICEB-D",17,91,2006,"Public bus"
"HEB-D",17,0,2006,"Public bus"
"CNGB",17,0,2006,"Public bus"
"EB",17,0,2006,"Public bus"
"ICEB-D",18,57,2006,"Public bus"
"HEB-D",18,0,2006,"Public bus"
"CNGB",18,0,2006,"Public bus"
"EB",18,0,2006,"Public bus"
"ICEB-D",19,1,2006,"Public bus"
"HEB-D",19,0,2006,"Public bus"
"CNGB",19,0,2006,"Public bus"
"EB",19,0,2006,"Public bus"
"ICEB-D",20,1,2006,"Public bus"
"HEB-D",20,0,2006,"Public bus"
"CNGB",20,0,2006,"Public bus"
"EB",20,0,2006,"Public bus"
"ICEB-D",0,148,2007,"Public bus"
"HEB-D",0,0,2007,"Public bus"
"CNGB",0,0,2007,"Public bus"
"EB",0,0,2007,"Public bus"
"ICEB-D",1,306,2007,"Public bus"
"HEB-D",1,0,2007,"Public bus"
"CNGB",1,3,2007,"Public bus"
"EB",1,0,2007,"Public bus"
"ICEB-D",2,227,2007,"Public bus"
"HEB-D",2,0,2007,"Public bus"
"CNGB",2,0,2007,"Public bus"
"EB",2,0,2007,"Public bus"
"ICEB-D",3,200,2007,"Public bus"
"HEB-D",3,0,2007,"Public bus"
"CNGB",3,0,2007,"Public bus"
"EB",3,0,2007,"Public bus"
"ICEB-D",4,203,2007,"Public bus"
"HEB-D",4,0,2007,"Public bus"
"CNGB",4,0,2007,"Public bus"
"EB",4,0,2007,"Public bus"
"ICEB-D",5,179,2007,"Public bus"
"HEB-D",5,0,2007,"Public bus"
"CNGB",5,0,2007,"Public bus"
"EB",5,0,2007,"Public bus"
"ICEB-D",6,234,2007,"Public bus"
"HEB-D",6,0,2007,"Public bus"
"CNGB",6,0,2007,"Public bus"
"EB",6,0,2007,"Public bus"
"ICEB-D",7,359,2007,"Public bus"
"HEB-D",7,0,2007,"Public bus"
"CNGB",7,0,2007,"Public bus"
"EB",7,0,2007,"Public bus"
"ICEB-D",8,225,2007,"Public bus"
"HEB-D",8,0,2007,"Public bus"
"CNGB",8,0,2007,"Public bus"
"EB",8,0,2007,"Public bus"
"ICEB-D",9,213,2007,"Public bus"
"HEB-D",9,0,2007,"Public bus"
"CNGB",9,0,2007,"Public bus"
"EB",9,0,2007,"Public bus"
"ICEB-D",10,259,2007,"Public bus"
"HEB-D",10,0,2007,"Public bus"
"CNGB",10,0,2007,"Public bus"
"EB",10,0,2007,"Public bus"
"ICEB-D",11,184,2007,"Public bus"
"HEB-D",11,0,2007,"Public bus"
"CNGB",11,0,2007,"Public bus"
"EB",11,0,2007,"Public bus"
"ICEB-D",12,293,2007,"Public bus"
"HEB-D",12,0,2007,"Public bus"
"CNGB",12,0,2007,"Public bus"
"EB",12,0,2007,"Public bus"
"ICEB-D",13,251,2007,"Public bus"
"HEB-D",13,0,2007,"Public bus"
"CNGB",13,0,2007,"Public bus"
"EB",13,0,2007,"Public bus"
"ICEB-D",14,223,2007,"Public bus"
"HEB-D",14,0,2007,"Public bus"
"CNGB",14,0,2007,"Public bus"
"EB",14,0,2007,"Public bus"
"ICEB-D",15,177,2007,"Public bus"
"HEB-D",15,0,2007,"Public bus"
"CNGB",15,0,2007,"Public bus"
"EB",15,0,2007,"Public bus"
"ICEB-D",16,181,2007,"Public bus"
"HEB-D",16,0,2007,"Public bus"
"CNGB",16,0,2007,"Public bus"
"EB",16,0,2007,"Public bus"
"ICEB-D",17,135,2007,"Public bus"
"HEB-D",17,0,2007,"Public bus"
"CNGB",17,0,2007,"Public bus"
"EB",17,0,2007,"Public bus"
"ICEB-D",18,82,2007,"Public bus"
"HEB-D",18,0,2007,"Public bus"
"CNGB",18,0,2007,"Public bus"
"EB",18,0,2007,"Public bus"
"ICEB-D",19,17,2007,"Public bus"
"HEB-D",19,0,2007,"Public bus"
"CNGB",19,0,2007,"Public bus"
"EB",19,0,2007,"Public bus"
"ICEB-D",20,0,2007,"Public bus"
"HEB-D",20,0,2007,"Public bus"
"CNGB",20,0,2007,"Public bus"
"EB",20,0,2007,"Public bus"
"ICEB-D",0,315,2008,"Public bus"
"HEB-D",0,0,2008,"Public bus"
"CNGB",0,0,2008,"Public bus"
"EB",0,0,2008,"Public bus"
"ICEB-D",1,148,2008,"Public bus"
"HEB-D",1,0,2008,"Public bus"
"CNGB",1,0,2008,"Public bus"
"EB",1,0,2008,"Public bus"
"ICEB-D",2,306,2008,"Public bus"
"HEB-D",2,0,2008,"Public bus"
"CNGB",2,3,2008,"Public bus"
"EB",2,0,2008,"Public bus"
"ICEB-D",3,226,2008,"Public bus"
"HEB-D",3,0,2008,"Public bus"
"CNGB",3,0,2008,"Public bus"
"EB",3,0,2008,"Public bus"
"ICEB-D",4,200,2008,"Public bus"
"HEB-D",4,0,2008,"Public bus"
"CNGB",4,0,2008,"Public bus"
"EB",4,0,2008,"Public bus"
"ICEB-D",5,203,2008,"Public bus"
"HEB-D",5,0,2008,"Public bus"
"CNGB",5,0,2008,"Public bus"
"EB",5,0,2008,"Public bus"
"ICEB-D",6,175,2008,"Public bus"
"HEB-D",6,0,2008,"Public bus"
"CNGB",6,0,2008,"Public bus"
"EB",6,0,2008,"Public bus"
"ICEB-D",7,230,2008,"Public bus"
"HEB-D",7,0,2008,"Public bus"
"CNGB",7,0,2008,"Public bus"
"EB",7,0,2008,"Public bus"
"ICEB-D",8,351,2008,"Public bus"
"HEB-D",8,0,2008,"Public bus"
"CNGB",8,0,2008,"Public bus"
"EB",8,0,2008,"Public bus"
"ICEB-D",9,219,2008,"Public bus"
"HEB-D",9,0,2008,"Public bus"
"CNGB",9,0,2008,"Public bus"
"EB",9,0,2008,"Public bus"
"ICEB-D",10,202,2008,"Public bus"
"HEB-D",10,0,2008,"Public bus"
"CNGB",10,0,2008,"Public bus"
"EB",10,0,2008,"Public bus"
"ICEB-D",11,256,2008,"Public bus"
"HEB-D",11,0,2008,"Public bus"
"CNGB",11,0,2008,"Public bus"
"EB",11,0,2008,"Public bus"
"ICEB-D",12,183,2008,"Public bus"
"HEB-D",12,0,2008,"Public bus"
"CNGB",12,0,2008,"Public bus"
"EB",12,0,2008,"Public bus"
"ICEB-D",13,291,2008,"Public bus"
"HEB-D",13,0,2008,"Public bus"
"CNGB",13,0,2008,"Public bus"
"EB",13,0,2008,"Public bus"
"ICEB-D",14,245,2008,"Public bus"
"HEB-D",14,0,2008,"Public bus"
"CNGB",14,0,2008,"Public bus"
"EB",14,0,2008,"Public bus"
"ICEB-D",15,210,2008,"Public bus"
"HEB-D",15,0,2008,"Public bus"
"CNGB",15,0,2008,"Public bus"
"EB",15,0,2008,"Public bus"
"ICEB-D",16,173,2008,"Public bus"
"HEB-D",16,0,2008,"Public bus"
"CNGB",16,0,2008,"Public bus"
"EB",16,0,2008,"Public bus"
"ICEB-D",17,130,2008,"Public bus"
"HEB-D",17,0,2008,"Public bus"
"CNGB",17,0,2008,"Public bus"
"EB",17,0,2008,"Public bus"
"ICEB-D",18,111,2008,"Public bus"
"HEB-D",18,0,2008,"Public bus"
"CNGB",18,0,2008,"Public bus"
"EB",18,0,2008,"Public bus"
"ICEB-D",19,23,2008,"Public bus"
"HEB-D",19,0,2008,"Public bus"
"CNGB",19,0,2008,"Public bus"
"EB",19,0,2008,"Public bus"
"ICEB-D",20,5,2008,"Public bus"
"HEB-D",20,0,2008,"Public bus"
"CNGB",20,0,2008,"Public bus"
"EB",20,0,2008,"Public bus"
"ICEB-D",0,398,2009,"Public bus"
"HEB-D",0,0,2009,"Public bus"
"CNGB",0,5,2009,"Public bus"
"EB",0,0,2009,"Public bus"
"ICEB-D",1,315,2009,"Public bus"
"HEB-D",1,0,2009,"Public bus"
"CNGB",1,0,2009,"Public bus"
"EB",1,0,2009,"Public bus"
"ICEB-D",2,148,2009,"Public bus"
"HEB-D",2,0,2009,"Public bus"
"CNGB",2,0,2009,"Public bus"
"EB",2,0,2009,"Public bus"
"ICEB-D",3,305,2009,"Public bus"
