"Technology","Age","Value","Year","Mode"
"EM",19,0,2007,"Motorcycle"
"ICEM-G",20,721,2007,"Motorcycle"
"EM",20,0,2007,"Motorcycle"
"ICEM-G",0,10122,2008,"Motorcycle"
"EM",0,0,2008,"Motorcycle"
"ICEM-G",1,9274,2008,"Motorcycle"
"EM",1,0,2008,"Motorcycle"
"ICEM-G",2,23806,2008,"Motorcycle"
"EM",2,0,2008,"Motorcycle"
"ICEM-G",3,11739,2008,"Motorcycle"
"EM",3,0,2008,"Motorcycle"
"ICEM-G",4,11508,2008,"Motorcycle"
"EM",4,0,2008,"Motorcycle"
"ICEM-G",5,14094,2008,"Motorcycle"
"EM",5,0,2008,"Motorcycle"
"ICEM-G",6,15795,2008,"Motorcycle"
"EM",6,0,2008,"Motorcycle"
"ICEM-G",7,11928,2008,"Motorcycle"
"EM",7,0,2008,"Motorcycle"
"ICEM-G",8,8761,2008,"Motorcycle"
"EM",8,0,2008,"Motorcycle"
"ICEM-G",9,6491,2008,"Motorcycle"
"EM",9,0,2008,"Motorcycle"
"ICEM-G",10,4381,2008,"Motorcycle"
"EM",10,0,2008,"Motorcycle"
"ICEM-G",11,3203,2008,"Motorcycle"
"EM",11,0,2008,"Motorcycle"
"ICEM-G",12,2513,2008,"Motorcycle"
"EM",12,0,2008,"Motorcycle"
"ICEM-G",13,1561,2008,"Motorcycle"
"EM",13,0,2008,"Motorcycle"
"ICEM-G",14,2737,2008,"Motorcycle"
"EM",14,0,2008,"Motorcycle"
"ICEM-G",15,2156,2008,"Motorcycle"
"EM",15,0,2008,"Motorcycle"
"ICEM-G",16,1121,2008,"Motorcycle"
"EM",16,0,2008,"Motorcycle"
"ICEM-G",17,1094,2008,"Motorcycle"
"EM",17,0,2008,"Motorcycle"
"ICEM-G",18,1039,2008,"Motorcycle"
"EM",18,0,2008,"Motorcycle"
"ICEM-G",19,1257,2008,"Motorcycle"
"EM",19,0,2008,"Motorcycle"
"ICEM-G",20,708,2008,"Motorcycle"
"EM",20,0,2008,"Motorcycle"
"ICEM-G",0,8681,2009,"Motorcycle"
"EM",0,4,2009,"Motorcycle"
"ICEM-G",1,10036,2009,"Motorcycle"
"EM",1,0,2009,"Motorcycle"
"ICEM-G",2,9150,2009,"Motorcycle"
"EM",2,0,2009,"Motorcycle"
"ICEM-G",3,23422,2009,"Motorcycle"
"EM",3,0,2009,"Motorcycle"
"ICEM-G",4,11539,2009,"Motorcycle"
"EM",4,0,2009,"Motorcycle"
"ICEM-G",5,11323,2009,"Motorcycle"
"EM",5,0,2009,"Motorcycle"
"ICEM-G",6,13800,2009,"Motorcycle"
"EM",6,0,2009,"Motorcycle"
"ICEM-G",7,15437,2009,"Motorcycle"
"EM",7,0,2009,"Motorcycle"
"ICEM-G",8,11277,2009,"Motorcycle"
"EM",8,0,2009,"Motorcycle"
"ICEM-G",9,7901,2009,"Motorcycle"
"EM",9,0,2009,"Motorcycle"
"ICEM-G",10,4889,2009,"Motorcycle"
"EM",10,0,2009,"Motorcycle"
"ICEM-G",11,4118,2009,"Motorcycle"
"EM",11,0,2009,"Motorcycle"
"ICEM-G",12,2967,2009,"Motorcycle"
"EM",12,0,2009,"Motorcycle"
"ICEM-G",13,2329,2009,"Motorcycle"
"EM",13,0,2009,"Motorcycle"
"ICEM-G",14,1365,2009,"Motorcycle"
"EM",14,0,2009,"Motorcycle"
"ICEM-G",15,2313,2009,"Motorcycle"
"EM",15,0,2009,"Motorcycle"
"ICEM-G",16,1919,2009,"Motorcycle"
"EM",16,0,2009,"Motorcycle"
"ICEM-G",17,1021,2009,"Motorcycle"
"EM",17,0,2009,"Motorcycle"
"ICEM-G",18,985,2009,"Motorcycle"
"EM",18,0,2009,"Motorcycle"
"ICEM-G",19,842,2009,"Motorcycle"
"EM",19,0,2009,"Motorcycle"
"ICEM-G",20,1019,2009,"Motorcycle"
"EM",20,0,2009,"Motorcycle"
"ICEM-G",0,8402,2010,"Motorcycle"
"EM",0,3,2010,"Motorcycle"
"ICEM-G",1,8599,2010,"Motorcycle"
"EM",1,4,2010,"Motorcycle"
"ICEM-G",2,9929,2010,"Motorcycle"
"EM",2,0,2010,"Motorcycle"
"ICEM-G",3,9056,2010,"Motorcycle"
"EM",3,0,2010,"Motorcycle"
"ICEM-G",4,23132,2010,"Motorcycle"
"EM",4,0,2010,"Motorcycle"
"ICEM-G",5,11316,2010,"Motorcycle"
"EM",5,0,2010,"Motorcycle"
"ICEM-G",6,11092,2010,"Motorcycle"
"EM",6,0,2010,"Motorcycle"
"ICEM-G",7,13529,2010,"Motorcycle"
"EM",7,0,2010,"Motorcycle"
"ICEM-G",8,14983,2010,"Motorcycle"
"EM",8,0,2010,"Motorcycle"
"ICEM-G",9,10391,2010,"Motorcycle"
"EM",9,0,2010,"Motorcycle"
"ICEM-G",10,5958,2010,"Motorcycle"
"EM",10,0,2010,"Motorcycle"
"ICEM-G",11,4648,2010,"Motorcycle"
"EM",11,0,2010,"Motorcycle"
"ICEM-G",12,3875,2010,"Motorcycle"
"EM",12,0,2010,"Motorcycle"
"ICEM-G",13,2779,2010,"Motorcycle"
"EM",13,0,2010,"Motorcycle"
"ICEM-G",14,2140,2010,"Motorcycle"
"EM",14,0,2010,"Motorcycle"
"ICEM-G",15,1174,2010,"Motorcycle"
"EM",15,0,2010,"Motorcycle"
"ICEM-G",16,2068,2010,"Motorcycle"
"EM",16,0,2010,"Motorcycle"
"ICEM-G",17,1706,2010,"Motorcycle"
"EM",17,0,2010,"Motorcycle"
"ICEM-G",18,920,2010,"Motorcycle"
"EM",18,0,2010,"Motorcycle"
"ICEM-G",19,851,2010,"Motorcycle"
"EM",19,0,2010,"Motorcycle"
"ICEM-G",20,727,2010,"Motorcycle"
"EM",20,0,2010,"Motorcycle"
"ICEM-G",0,7468,2011,"Motorcycle"
"EM",0,1,2011,"Motorcycle"
"ICEM-G",1,8348,2011,"Motorcycle"
"EM",1,3,2011,"Motorcycle"
"ICEM-G",2,8533,2011,"Motorcycle"
"EM",2,4,2011,"Motorcycle"
"ICEM-G",3,9829,2011,"Motorcycle"
"EM",3,0,2011,"Motorcycle"
"ICEM-G",4,8972,2011,"Motorcycle"
"EM",4,0,2011,"Motorcycle"
"ICEM-G",5,22850,2011,"Motorcycle"
"EM",5,0,2011,"Motorcycle"
"ICEM-G",6,11117,2011,"Motorcycle"
"EM",6,0,2011,"Motorcycle"
"ICEM-G",7,10837,2011,"Motorcycle"
"EM",7,0,2011,"Motorcycle"
"ICEM-G",8,13134,2011,"Motorcycle"
"EM",8,0,2011,"Motorcycle"
"ICEM-G",9,13623,2011,"Motorcycle"
"EM",9,0,2011,"Motorcycle"
"ICEM-G",10,6836,2011,"Motorcycle"
"EM",10,0,2011,"Motorcycle"
"ICEM-G",11,5701,2011,"Motorcycle"
"EM",11,0,2011,"Motorcycle"
