"Technology","Age","Value","Year"
"ICEV-D",8,0,2006
"HEV-G",8,0,2006
"HEV-D",8,0,2006
"CNG",8,0,2006
"PHEV",8,0,2006
"BEV",8,0,2006
"ICEV-G",9,23,2006
"ICEV-D",9,0,2006
"HEV-G",9,0,2006
"HEV-D",9,0,2006
"CNG",9,0,2006
"PHEV",9,0,2006
"BEV",9,0,2006
"ICEV-G",10,22,2006
"ICEV-D",10,0,2006
"HEV-G",10,0,2006
"HEV-D",10,0,2006
"CNG",10,0,2006
"PHEV",10,0,2006
"BEV",10,0,2006
"ICEV-G",11,13,2006
"ICEV-D",11,0,2006
"HEV-G",11,0,2006
"HEV-D",11,0,2006
"CNG",11,0,2006
"PHEV",11,0,2006
"BEV",11,0,2006
"ICEV-G",12,14,2006
"ICEV-D",12,0,2006
"HEV-G",12,0,2006
"HEV-D",12,0,2006
"CNG",12,0,2006
"PHEV",12,0,2006
"BEV",12,0,2006
"ICEV-G",13,70,2006
"ICEV-D",13,0,2006
"HEV-G",13,0,2006
"HEV-D",13,0,2006
"CNG",13,0,2006
"PHEV",13,0,2006
"BEV",13,0,2006
"ICEV-G",14,214,2006
"ICEV-D",14,0,2006
"HEV-G",14,0,2006
"HEV-D",14,0,2006
"CNG",14,0,2006
"PHEV",14,0,2006
"BEV",14,0,2006
"ICEV-G",15,175,2006
"ICEV-D",15,0,2006
"HEV-G",15,0,2006
"HEV-D",15,0,2006
"CNG",15,0,2006
"PHEV",15,0,2006
"BEV",15,0,2006
"ICEV-G",16,26,2006
"ICEV-D",16,0,2006
"HEV-G",16,0,2006
"HEV-D",16,0,2006
"CNG",16,0,2006
"PHEV",16,0,2006
"BEV",16,0,2006
"ICEV-G",17,37,2006
"ICEV-D",17,0,2006
"HEV-G",17,0,2006
"HEV-D",17,0,2006
"CNG",17,0,2006
"PHEV",17,0,2006
"BEV",17,0,2006
"ICEV-G",18,14,2006
"ICEV-D",18,0,2006
"HEV-G",18,0,2006
"HEV-D",18,0,2006
"CNG",18,0,2006
"PHEV",18,0,2006
"BEV",18,0,2006
"ICEV-G",19,11,2006
"ICEV-D",19,0,2006
"HEV-G",19,0,2006
"HEV-D",19,0,2006
"CNG",19,0,2006
"PHEV",19,0,2006
"BEV",19,0,2006
"ICEV-G",20,10,2006
"ICEV-D",20,0,2006
"HEV-G",20,0,2006
"HEV-D",20,0,2006
"CNG",20,0,2006
"PHEV",20,0,2006
"BEV",20,0,2006
"ICEV-G",0,3057,2007
