"Value","Year","Convergence_year","Scenario","Model","Unit","Target"
39.8174634234123,2021,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
38.2376260628848,2022,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
36.6577887023573,2023,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
35.0779513418297,2024,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
33.4981139813022,2025,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
31.9182766207746,2026,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
30.3384392602471,2027,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
28.7586018997196,2028,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
27.178764539192,2029,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
25.5989271786645,2030,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
24.8338987433611,2031,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
24.0688703080577,2032,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
23.3038418727542,2033,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
22.5388134374508,2034,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
21.7737850021474,2035,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
21.008756566844,2036,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
20.2437281315406,2037,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
19.4786996962371,2038,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
18.7136712609337,2039,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
17.9486428256303,2040,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
16.710735061808,2041,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
15.4728272979856,2042,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
14.2349195341633,2043,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
12.9970117703409,2044,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
11.7591040065185,2045,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
10.5211962426962,2046,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
9.28328847887384,2047,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
8.04538071505149,2048,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
6.80747295122914,2049,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
5.56956518740679,2050,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
36.901353,2005,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
42.5876461663799,2018,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
43.0323642672064,2019,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
43.477082368033,2020,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
42.1933571586066,2021,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
40.9096319491801,2022,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
39.6259067397537,2023,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
38.3421815303273,2024,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
37.0584563209009,2025,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
35.7747311114745,2026,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
34.4910059020481,2027,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
33.2072806926217,2028,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
31.9235554831953,2029,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
30.6398302737689,2030,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
29.1507866140544,2031,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
27.6617429543399,2032,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
26.1726992946253,2033,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
24.6836556349108,2034,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
23.1946119751962,2035,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
21.7055683154817,2036,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
20.2165246557671,2037,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
18.7274809960526,2038,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
17.238437336338,2039,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
15.7493936766235,2040,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
14.447159327549,2041,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
13.1449249784745,2042,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
11.8426906294,2043,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
10.5404562803255,2044,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
9.23822193125095,2045,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
7.93598758217644,2046,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
6.63375323310193,2047,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
5.33151888402742,2048,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
4.02928453495291,2049,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
2.7270501858784,2050,"grandfathering","SSP1-19","REMIND-MAGPIE","Mt CO2","1.5C"
36.901353,2005,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
49.9408174724731,2018,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
51.3046819865613,2019,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
52.6685465006495,2020,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
48.8347025013794,2021,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
45.0008585021093,2022,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
41.1670145028393,2023,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
37.3331705035692,2024,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
33.4993265042991,2025,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
29.665482505029,2026,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
25.8316385057589,2027,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
21.9977945064888,2028,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
18.1639505072187,2029,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
14.3301065079487,2030,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
14.0615355192702,2031,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
13.7929645305918,2032,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
13.5243935419133,2033,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
13.2558225532349,2034,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
12.9872515645564,2035,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
12.718680575878,2036,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
12.4501095871995,2037,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
12.1815385985211,2038,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
11.9129676098426,2039,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
11.6443966211642,2040,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
11.1486917175213,2041,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
10.6529868138784,2042,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
10.1572819102355,2043,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
9.66157700659265,2044,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
9.16587210294977,2045,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
8.67016719930689,2046,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
8.17446229566401,2047,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
7.67875739202113,2048,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
7.18305248837825,2049,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
6.68734758473537,2050,"grandfathering","SSP1-19","WITCH-GLOBIOM","Mt CO2","1.5C"
36.901353,2005,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
37.171597,2006,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.286019,2007,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.426592,2008,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.831762,2009,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
42.413616,2010,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
44.763911,2011,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.692284,2012,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.917804,2013,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
44.459324,2014,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
45.49601,2015,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
46.065234,2016,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
47.407144,2017,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
18.3644868357654,2018,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
18.5700907894106,2019,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
18.7756947430557,2020,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
17.8252057988812,2021,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
16.8747168547068,2022,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
15.9242279105322,2023,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
14.9737389663577,2024,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
14.0232500221832,2025,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
13.0727610780087,2026,"2018","SSP1-19","AIM/CGE","Mt CO2","1.5C"
