"Technology","Age","Value","Year"
"ICEV-D",13,184,2006
"HEV-G",13,0,2006
"HEV-D",13,0,2006
"CNG",13,0,2006
"PHEV",13,0,2006
"BEV",13,0,2006
"ICEV-G",14,0,2006
"ICEV-D",14,560,2006
"HEV-G",14,0,2006
"HEV-D",14,0,2006
"CNG",14,0,2006
"PHEV",14,0,2006
"BEV",14,0,2006
"ICEV-G",15,0,2006
"ICEV-D",15,533,2006
"HEV-G",15,0,2006
"HEV-D",15,0,2006
"CNG",15,0,2006
"PHEV",15,0,2006
"BEV",15,0,2006
"ICEV-G",0,0,2007
"ICEV-D",0,4589,2007
"HEV-G",0,0,2007
"HEV-D",0,0,2007
"CNG",0,117,2007
"PHEV",0,0,2007
"BEV",0,0,2007
"ICEV-G",1,0,2007
"ICEV-D",1,5473,2007
"HEV-G",1,0,2007
"HEV-D",1,0,2007
"CNG",1,4,2007
"PHEV",1,0,2007
"BEV",1,0,2007
"ICEV-G",2,1,2007
"ICEV-D",2,5446,2007
"HEV-G",2,0,2007
"HEV-D",2,0,2007
"CNG",2,100,2007
"PHEV",2,0,2007
"BEV",2,0,2007
"ICEV-G",3,0,2007
"ICEV-D",3,4157,2007
"HEV-G",3,0,2007
"HEV-D",3,0,2007
"CNG",3,0,2007
"PHEV",3,0,2007
"BEV",3,0,2007
"ICEV-G",4,0,2007
"ICEV-D",4,2149,2007
"HEV-G",4,0,2007
"HEV-D",4,0,2007
"CNG",4,0,2007
"PHEV",4,0,2007
"BEV",4,0,2007
"ICEV-G",5,0,2007
"ICEV-D",5,648,2007
"HEV-G",5,0,2007
"HEV-D",5,0,2007
"CNG",5,0,2007
"PHEV",5,0,2007
"BEV",5,0,2007
"ICEV-G",6,0,2007
"ICEV-D",6,542,2007
"HEV-G",6,0,2007
"HEV-D",6,0,2007
"CNG",6,0,2007
"PHEV",6,0,2007
"BEV",6,0,2007
"ICEV-G",7,0,2007
"ICEV-D",7,186,2007
"HEV-G",7,0,2007
"HEV-D",7,0,2007
"CNG",7,0,2007
"PHEV",7,0,2007
"BEV",7,0,2007
"ICEV-G",8,0,2007
"ICEV-D",8,103,2007
"HEV-G",8,0,2007
"HEV-D",8,0,2007
"CNG",8,0,2007
"PHEV",8,0,2007
"BEV",8,0,2007
"ICEV-G",9,0,2007
"ICEV-D",9,117,2007
"HEV-G",9,0,2007
"HEV-D",9,0,2007
"CNG",9,0,2007
"PHEV",9,0,2007
"BEV",9,0,2007
"ICEV-G",10,0,2007
"ICEV-D",10,26,2007
"HEV-G",10,0,2007
"HEV-D",10,0,2007
"CNG",10,0,2007
"PHEV",10,0,2007
"BEV",10,0,2007
"ICEV-G",11,0,2007
"ICEV-D",11,58,2007
"HEV-G",11,0,2007
"HEV-D",11,0,2007
"CNG",11,0,2007
"PHEV",11,0,2007
"BEV",11,0,2007
"ICEV-G",12,0,2007
"ICEV-D",12,31,2007
"HEV-G",12,0,2007
"HEV-D",12,0,2007
"CNG",12,0,2007
"PHEV",12,0,2007
"BEV",12,0,2007
"ICEV-G",13,0,2007
"ICEV-D",13,36,2007
"HEV-G",13,0,2007
"HEV-D",13,0,2007
"CNG",13,0,2007
"PHEV",13,0,2007
"BEV",13,0,2007
"ICEV-G",14,0,2007
"ICEV-D",14,164,2007
"HEV-G",14,0,2007
"HEV-D",14,0,2007
"CNG",14,0,2007
"PHEV",14,0,2007
"BEV",14,0,2007
"ICEV-G",15,0,2007
"ICEV-D",15,499,2007
"HEV-G",15,0,2007
"HEV-D",15,0,2007
"CNG",15,0,2007
"PHEV",15,0,2007
"BEV",15,0,2007
"ICEV-G",0,10,2008
"ICEV-D",0,2465,2008
"HEV-G",0,0,2008
"HEV-D",0,0,2008
"CNG",0,763,2008
"PHEV",0,0,2008
"BEV",0,0,2008
"ICEV-G",1,0,2008
"ICEV-D",1,4586,2008
"HEV-G",1,0,2008
"HEV-D",1,0,2008
"CNG",1,117,2008
"PHEV",1,0,2008
"BEV",1,0,2008
"ICEV-G",2,0,2008
"ICEV-D",2,5464,2008
"HEV-G",2,0,2008
"HEV-D",2,0,2008
"CNG",2,4,2008
"PHEV",2,0,2008
"BEV",2,0,2008
"ICEV-G",3,1,2008
"ICEV-D",3,5141,2008
"HEV-G",3,0,2008
"HEV-D",3,0,2008
"CNG",3,94,2008
"PHEV",3,0,2008
"BEV",3,0,2008
"ICEV-G",4,0,2008
"ICEV-D",4,3088,2008
"HEV-G",4,0,2008
"HEV-D",4,0,2008
"CNG",4,0,2008
"PHEV",4,0,2008
"BEV",4,0,2008
"ICEV-G",5,0,2008
"ICEV-D",5,1225,2008
"HEV-G",5,0,2008
"HEV-D",5,0,2008
"CNG",5,0,2008
"PHEV",5,0,2008
"BEV",5,0,2008
"ICEV-G",6,0,2008
"ICEV-D",6,438,2008
"HEV-G",6,0,2008
"HEV-D",6,0,2008
"CNG",6,0,2008
"PHEV",6,0,2008
"BEV",6,0,2008
"ICEV-G",7,0,2008
"ICEV-D",7,392,2008
"HEV-G",7,0,2008
"HEV-D",7,0,2008
"CNG",7,0,2008
"PHEV",7,0,2008
"BEV",7,0,2008
"ICEV-G",8,0,2008
"ICEV-D",8,126,2008
"HEV-G",8,0,2008
"HEV-D",8,0,2008
"CNG",8,0,2008
"PHEV",8,0,2008
"BEV",8,0,2008
"ICEV-G",9,0,2008
"ICEV-D",9,58,2008
"HEV-G",9,0,2008
"HEV-D",9,0,2008
"CNG",9,0,2008
"PHEV",9,0,2008
"BEV",9,0,2008
"ICEV-G",10,0,2008
"ICEV-D",10,30,2008
"HEV-G",10,0,2008
"HEV-D",10,0,2008
"CNG",10,0,2008
"PHEV",10,0,2008
"BEV",10,0,2008
"ICEV-G",11,0,2008
"ICEV-D",11,26,2008
"HEV-G",11,0,2008
"HEV-D",11,0,2008
"CNG",11,0,2008
"PHEV",11,0,2008
"BEV",11,0,2008
"ICEV-G",12,0,2008
"ICEV-D",12,57,2008
"HEV-G",12,0,2008
"HEV-D",12,0,2008
"CNG",12,0,2008
"PHEV",12,0,2008
"BEV",12,0,2008
"ICEV-G",13,0,2008
"ICEV-D",13,30,2008
"HEV-G",13,0,2008
"HEV-D",13,0,2008
"CNG",13,0,2008
"PHEV",13,0,2008
"BEV",13,0,2008
"ICEV-G",14,0,2008
"ICEV-D",14,33,2008
"HEV-G",14,0,2008
"HEV-D",14,0,2008
"CNG",14,0,2008
"PHEV",14,0,2008
"BEV",14,0,2008
"ICEV-G",15,0,2008
"ICEV-D",15,152,2008
"HEV-G",15,0,2008
"HEV-D",15,0,2008
"CNG",15,0,2008
"PHEV",15,0,2008
"BEV",15,0,2008
"ICEV-G",0,139,2009
"ICEV-D",0,1509,2009
"HEV-G",0,4,2009
"HEV-D",0,0,2009
"CNG",0,885,2009
"PHEV",0,0,2009
"BEV",0,0,2009
"ICEV-G",1,10,2009
"ICEV-D",1,2465,2009
"HEV-G",1,0,2009
"HEV-D",1,0,2009
"CNG",1,763,2009
"PHEV",1,0,2009
"BEV",1,0,2009
"ICEV-G",2,0,2009
"ICEV-D",2,4579,2009
"HEV-G",2,0,2009
"HEV-D",2,0,2009
"CNG",2,117,2009
"PHEV",2,0,2009
"BEV",2,0,2009
"ICEV-G",3,0,2009
"ICEV-D",3,5444,2009
"HEV-G",3,0,2009
"HEV-D",3,0,2009
"CNG",3,4,2009
"PHEV",3,0,2009
"BEV",3,0,2009
"ICEV-G",4,1,2009
"ICEV-D",4,4694,2009
"HEV-G",4,0,2009
"HEV-D",4,0,2009
"CNG",4,86,2009
"PHEV",4,0,2009
"BEV",4,0,2009
"ICEV-G",5,0,2009
"ICEV-D",5,2248,2009
"HEV-G",5,0,2009
"HEV-D",5,0,2009
"CNG",5,0,2009
"PHEV",5,0,2009
"BEV",5,0,2009
"ICEV-G",6,0,2009
"ICEV-D",6,894,2009
"HEV-G",6,0,2009
"HEV-D",6,0,2009
"CNG",6,0,2009
"PHEV",6,0,2009
"BEV",6,0,2009
"ICEV-G",7,0,2009
"ICEV-D",7,303,2009
"HEV-G",7,0,2009
"HEV-D",7,0,2009
"CNG",7,0,2009
"PHEV",7,0,2009
"BEV",7,0,2009
"ICEV-G",8,0,2009
"ICEV-D",8,279,2009
"HEV-G",8,0,2009
"HEV-D",8,0,2009
"CNG",8,0,2009
"PHEV",8,0,2009
"BEV",8,0,2009
"ICEV-G",9,0,2009
"ICEV-D",9,80,2009
"HEV-G",9,0,2009
"HEV-D",9,0,2009
"CNG",9,0,2009
"PHEV",9,0,2009
"BEV",9,0,2009
"ICEV-G",10,0,2009
"ICEV-D",10,26,2009
"HEV-G",10,0,2009
"HEV-D",10,0,2009
"CNG",10,0,2009
"PHEV",10,0,2009
"BEV",10,0,2009
"ICEV-G",11,0,2009
"ICEV-D",11,30,2009
"HEV-G",11,0,2009
"HEV-D",11,0,2009
"CNG",11,0,2009
"PHEV",11,0,2009
"BEV",11,0,2009
"ICEV-G",12,0,2009
"ICEV-D",12,25,2009
"HEV-G",12,0,2009
"HEV-D",12,0,2009
"CNG",12,0,2009
"PHEV",12,0,2009
"BEV",12,0,2009
"ICEV-G",13,0,2009
"ICEV-D",13,56,2009
"HEV-G",13,0,2009
"HEV-D",13,0,2009
"CNG",13,0,2009
"PHEV",13,0,2009
"BEV",13,0,2009
"ICEV-G",14,0,2009
"ICEV-D",14,29,2009
"HEV-G",14,0,2009
"HEV-D",14,0,2009
"CNG",14,0,2009
"PHEV",14,0,2009
"BEV",14,0,2009
"ICEV-G",15,0,2009
"ICEV-D",15,32,2009
"HEV-G",15,0,2009
"HEV-D",15,0,2009
"CNG",15,0,2009
"PHEV",15,0,2009
"BEV",15,0,2009
"ICEV-G",0,80,2010
"ICEV-D",0,1561,2010
"HEV-G",0,26,2010
"HEV-D",0,0,2010
"CNG",0,749,2010
"PHEV",0,0,2010
"BEV",0,0,2010
"ICEV-G",1,139,2010
"ICEV-D",1,1509,2010
"HEV-G",1,4,2010
"HEV-D",1,0,2010
"CNG",1,885,2010
"PHEV",1,0,2010
"BEV",1,0,2010
"ICEV-G",2,10,2010
"ICEV-D",2,2464,2010
"HEV-G",2,0,2010
"HEV-D",2,0,2010
"CNG",2,763,2010
"PHEV",2,0,2010
"BEV",2,0,2010
"ICEV-G",3,0,2010
"ICEV-D",3,4563,2010
"HEV-G",3,0,2010
"HEV-D",3,0,2010
"CNG",3,117,2010
"PHEV",3,0,2010
"BEV",3,0,2010
"ICEV-G",4,0,2010
"ICEV-D",4,5422,2010
"HEV-G",4,0,2010
"HEV-D",4,0,2010
"CNG",4,4,2010
"PHEV",4,0,2010
"BEV",4,0,2010
"ICEV-G",5,1,2010
"ICEV-D",5,4435,2010
"HEV-G",5,0,2010
"HEV-D",5,0,2010
"CNG",5,81,2010
"PHEV",5,0,2010
"BEV",5,0,2010
"ICEV-G",6,0,2010
"ICEV-D",6,1919,2010
"HEV-G",6,0,2010
"HEV-D",6,0,2010
"CNG",6,0,2010
"PHEV",6,0,2010
"BEV",6,0,2010
"ICEV-G",7,0,2010
"ICEV-D",7,715,2010
"HEV-G",7,0,2010
"HEV-D",7,0,2010
"CNG",7,0,2010
"PHEV",7,0,2010
"BEV",7,0,2010
"ICEV-G",8,0,2010
"ICEV-D",8,241,2010
"HEV-G",8,0,2010
"HEV-D",8,0,2010
"CNG",8,0,2010
"PHEV",8,0,2010
"BEV",8,0,2010
"ICEV-G",9,0,2010
"ICEV-D",9,193,2010
"HEV-G",9,0,2010
"HEV-D",9,0,2010
"CNG",9,0,2010
"PHEV",9,0,2010
"BEV",9,0,2010
"ICEV-G",10,0,2010
"ICEV-D",10,28,2010
"HEV-G",10,0,2010
"HEV-D",10,0,2010
"CNG",10,0,2010
"PHEV",10,0,2010
"BEV",10,0,2010
"ICEV-G",11,0,2010
"ICEV-D",11,26,2010
"HEV-G",11,0,2010
"HEV-D",11,0,2010
"CNG",11,0,2010
"PHEV",11,0,2010
"BEV",11,0,2010
"ICEV-G",12,0,2010
"ICEV-D",12,30,2010
"HEV-G",12,0,2010
"HEV-D",12,0,2010
"CNG",12,0,2010
"PHEV",12,0,2010
"BEV",12,0,2010
"ICEV-G",13,0,2010
"ICEV-D",13,24,2010
"HEV-G",13,0,2010
"HEV-D",13,0,2010
"CNG",13,0,2010
"PHEV",13,0,2010
"BEV",13,0,2010
"ICEV-G",14,0,2010
"ICEV-D",14,55,2010
"HEV-G",14,0,2010
"HEV-D",14,0,2010
"CNG",14,0,2010
"PHEV",14,0,2010
"BEV",14,0,2010
"ICEV-G",15,0,2010
"ICEV-D",15,29,2010
"HEV-G",15,0,2010
"HEV-D",15,0,2010
"CNG",15,0,2010
"PHEV",15,0,2010
"BEV",15,0,2010
"ICEV-G",0,49,2011
"ICEV-D",0,1281,2011
"HEV-G",0,26,2011
"HEV-D",0,0,2011
"CNG",0,238,2011
"PHEV",0,0,2011
"BEV",0,0,2011
"ICEV-G",1,80,2011
"ICEV-D",1,1561,2011
"HEV-G",1,26,2011
"HEV-D",1,0,2011
"CNG",1,749,2011
"PHEV",1,0,2011
"BEV",1,0,2011
"ICEV-G",2,139,2011
"ICEV-D",2,1509,2011
"HEV-G",2,4,2011
"HEV-D",2,0,2011
"CNG",2,885,2011
"PHEV",2,0,2011
"BEV",2,0,2011
"ICEV-G",3,10,2011
"ICEV-D",3,2464,2011
"HEV-G",3,0,2011
"HEV-D",3,0,2011
"CNG",3,763,2011
"PHEV",3,0,2011
"BEV",3,0,2011
"ICEV-G",4,0,2011
"ICEV-D",4,4557,2011
"HEV-G",4,0,2011
"HEV-D",4,0,2011
"CNG",4,117,2011
"PHEV",4,0,2011
"BEV",4,0,2011
"ICEV-G",5,0,2011
"ICEV-D",5,5410,2011
"HEV-G",5,0,2011
"HEV-D",5,0,2011
"CNG",5,4,2011
"PHEV",5,0,2011
"BEV",5,0,2011
"ICEV-G",6,1,2011
"ICEV-D",6,4391,2011
"HEV-G",6,0,2011
"HEV-D",6,0,2011
"CNG",6,80,2011
"PHEV",6,0,2011
"BEV",6,0,2011
"ICEV-G",7,0,2011
"ICEV-D",7,1746,2011
"HEV-G",7,0,2011
"HEV-D",7,0,2011
"CNG",7,0,2011
"PHEV",7,0,2011
"BEV",7,0,2011
"ICEV-G",8,0,2011
"ICEV-D",8,597,2011
"HEV-G",8,0,2011
"HEV-D",8,0,2011
"CNG",8,0,2011
"PHEV",8,0,2011
"BEV",8,0,2011
"ICEV-G",9,0,2011
"ICEV-D",9,173,2011
"HEV-G",9,0,2011
"HEV-D",9,0,2011
"CNG",9,0,2011
"PHEV",9,0,2011
"BEV",9,0,2011
"ICEV-G",10,0,2011
"ICEV-D",10,30,2011
"HEV-G",10,0,2011
"HEV-D",10,0,2011
"CNG",10,0,2011
"PHEV",10,0,2011
"BEV",10,0,2011
"ICEV-G",11,0,2011
"ICEV-D",11,28,2011
"HEV-G",11,0,2011
"HEV-D",11,0,2011
"CNG",11,0,2011
"PHEV",11,0,2011
"BEV",11,0,2011
"ICEV-G",12,0,2011
"ICEV-D",12,26,2011
"HEV-G",12,0,2011
"HEV-D",12,0,2011
"CNG",12,0,2011
"PHEV",12,0,2011
"BEV",12,0,2011
"ICEV-G",13,0,2011
"ICEV-D",13,30,2011
"HEV-G",13,0,2011
"HEV-D",13,0,2011
"CNG",13,0,2011
"PHEV",13,0,2011
"BEV",13,0,2011
"ICEV-G",14,0,2011
"ICEV-D",14,23,2011
"HEV-G",14,0,2011
"HEV-D",14,0,2011
"CNG",14,0,2011
"PHEV",14,0,2011
"BEV",14,0,2011
"ICEV-G",15,0,2011
"ICEV-D",15,54,2011
"HEV-G",15,0,2011
"HEV-D",15,0,2011
"CNG",15,0,2011
"PHEV",15,0,2011
"BEV",15,0,2011
"ICEV-G",0,181,2012
"ICEV-D",0,1831,2012
"HEV-G",0,69,2012
"HEV-D",0,0,2012
"CNG",0,0,2012
"PHEV",0,0,2012
"BEV",0,0,2012
"ICEV-G",1,49,2012
"ICEV-D",1,1281,2012
"HEV-G",1,26,2012
"HEV-D",1,0,2012
"CNG",1,219,2012
"PHEV",1,0,2012
"BEV",1,0,2012
"ICEV-G",2,80,2012
"ICEV-D",2,1561,2012
"HEV-G",2,26,2012
"HEV-D",2,0,2012
"CNG",2,689,2012
"PHEV",2,0,2012
"BEV",2,0,2012
"ICEV-G",3,139,2012
"ICEV-D",3,1509,2012
"HEV-G",3,4,2012
"HEV-D",3,0,2012
"CNG",3,814,2012
"PHEV",3,0,2012
"BEV",3,0,2012
"ICEV-G",4,10,2012
"ICEV-D",4,2463,2012
"HEV-G",4,0,2012
"HEV-D",4,0,2012
"CNG",4,702,2012
"PHEV",4,0,2012
"BEV",4,0,2012
"ICEV-G",5,0,2012
"ICEV-D",5,4549,2012
"HEV-G",5,0,2012
"HEV-D",5,0,2012
"CNG",5,108,2012
"PHEV",5,0,2012
"BEV",5,0,2012
"ICEV-G",6,0,2012
"ICEV-D",6,5397,2012
"HEV-G",6,0,2012
"HEV-D",6,0,2012
"CNG",6,4,2012
"PHEV",6,0,2012
"BEV",6,0,2012
"ICEV-G",7,1,2012
"ICEV-D",7,4328,2012
"HEV-G",7,0,2012
"HEV-D",7,0,2012
"CNG",7,73,2012
"PHEV",7,0,2012
"BEV",7,0,2012
"ICEV-G",8,0,2012
"ICEV-D",8,1532,2012
"HEV-G",8,0,2012
"HEV-D",8,0,2012
"CNG",8,0,2012
"PHEV",8,0,2012
"BEV",8,0,2012
"ICEV-G",9,0,2012
"ICEV-D",9,412,2012
"HEV-G",9,0,2012
"HEV-D",9,0,2012
"CNG",9,0,2012
"PHEV",9,0,2012
"BEV",9,0,2012
"ICEV-G",10,0,2012
"ICEV-D",10,19,2012
"HEV-G",10,0,2012
"HEV-D",10,0,2012
"CNG",10,0,2012
"PHEV",10,0,2012
"BEV",10,0,2012
"ICEV-G",11,0,2012
"ICEV-D",11,30,2012
"HEV-G",11,0,2012
"HEV-D",11,0,2012
"CNG",11,0,2012
"PHEV",11,0,2012
"BEV",11,0,2012
"ICEV-G",12,0,2012
"ICEV-D",12,28,2012
"HEV-G",12,0,2012
"HEV-D",12,0,2012
"CNG",12,0,2012
"PHEV",12,0,2012
"BEV",12,0,2012
"ICEV-G",13,0,2012
"ICEV-D",13,26,2012
"HEV-G",13,0,2012
"HEV-D",13,0,2012
"CNG",13,0,2012
"PHEV",13,0,2012
"BEV",13,0,2012
"ICEV-G",14,0,2012
"ICEV-D",14,29,2012
"HEV-G",14,0,2012
"HEV-D",14,0,2012
"CNG",14,0,2012
"PHEV",14,0,2012
"BEV",14,0,2012
"ICEV-G",15,0,2012
"ICEV-D",15,22,2012
"HEV-G",15,0,2012
"HEV-D",15,0,2012
"CNG",15,0,2012
"PHEV",15,0,2012
"BEV",15,0,2012
"ICEV-G",0,130,2013
"ICEV-D",0,20,2013
"HEV-G",0,537,2013
"HEV-D",0,0,2013
"CNG",0,0,2013
"PHEV",0,0,2013
"BEV",0,0,2013
"ICEV-G",1,181,2013
"ICEV-D",1,1831,2013
"HEV-G",1,69,2013
"HEV-D",1,0,2013
"CNG",1,0,2013
"PHEV",1,0,2013
"BEV",1,0,2013
"ICEV-G",2,49,2013
"ICEV-D",2,1280,2013
"HEV-G",2,26,2013
"HEV-D",2,0,2013
"CNG",2,193,2013
"PHEV",2,0,2013
"BEV",2,0,2013
"ICEV-G",3,80,2013
"ICEV-D",3,1560,2013
"HEV-G",3,26,2013
"HEV-D",3,0,2013
"CNG",3,608,2013
"PHEV",3,0,2013
"BEV",3,0,2013
"ICEV-G",4,139,2013
"ICEV-D",4,1508,2013
"HEV-G",4,4,2013
"HEV-D",4,0,2013
"CNG",4,718,2013
"PHEV",4,0,2013
"BEV",4,0,2013
"ICEV-G",5,10,2013
"ICEV-D",5,2461,2013
"HEV-G",5,0,2013
"HEV-D",5,0,2013
"CNG",5,618,2013
"PHEV",5,0,2013
"BEV",5,0,2013
"ICEV-G",6,0,2013
"ICEV-D",6,4541,2013
"HEV-G",6,0,2013
"HEV-D",6,0,2013
"CNG",6,95,2013
"PHEV",6,0,2013
"BEV",6,0,2013
"ICEV-G",7,0,2013
"ICEV-D",7,5379,2013
"HEV-G",7,0,2013
"HEV-D",7,0,2013
"CNG",7,4,2013
"PHEV",7,0,2013
"BEV",7,0,2013
"ICEV-G",8,1,2013
"ICEV-D",8,4223,2013
"HEV-G",8,0,2013
"HEV-D",8,0,2013
"CNG",8,63,2013
"PHEV",8,0,2013
"BEV",8,0,2013
"ICEV-G",9,0,2013
"ICEV-D",9,1177,2013
"HEV-G",9,0,2013
"HEV-D",9,0,2013
"CNG",9,0,2013
"PHEV",9,0,2013
"BEV",9,0,2013
"ICEV-G",10,0,2013
"ICEV-D",10,32,2013
"HEV-G",10,0,2013
"HEV-D",10,0,2013
