"Technology","Age","Value","Year","Mode"
"HEB-D",2,0,2006,"School bus"
"CNGB",2,0,2006,"School bus"
"EB",2,0,2006,"School bus"
"ICEB-G",3,7,2006,"School bus"
"ICEB-D",3,203,2006,"School bus"
"HEB-G",3,0,2006,"School bus"
"HEB-D",3,0,2006,"School bus"
"CNGB",3,0,2006,"School bus"
"EB",3,0,2006,"School bus"
"ICEB-G",4,6,2006,"School bus"
"ICEB-D",4,183,2006,"School bus"
"HEB-G",4,0,2006,"School bus"
"HEB-D",4,0,2006,"School bus"
"CNGB",4,0,2006,"School bus"
"EB",4,0,2006,"School bus"
"ICEB-G",5,9,2006,"School bus"
"ICEB-D",5,237,2006,"School bus"
"HEB-G",5,0,2006,"School bus"
"HEB-D",5,0,2006,"School bus"
"CNGB",5,0,2006,"School bus"
"EB",5,0,2006,"School bus"
"ICEB-G",6,13,2006,"School bus"
"ICEB-D",6,363,2006,"School bus"
"HEB-G",6,0,2006,"School bus"
"HEB-D",6,0,2006,"School bus"
"CNGB",6,0,2006,"School bus"
"EB",6,0,2006,"School bus"
"ICEB-G",7,8,2006,"School bus"
"ICEB-D",7,229,2006,"School bus"
"HEB-G",7,0,2006,"School bus"
"HEB-D",7,0,2006,"School bus"
"CNGB",7,0,2006,"School bus"
"EB",7,0,2006,"School bus"
"ICEB-G",8,8,2006,"School bus"
"ICEB-D",8,217,2006,"School bus"
"HEB-G",8,0,2006,"School bus"
"HEB-D",8,0,2006,"School bus"
"CNGB",8,0,2006,"School bus"
"EB",8,0,2006,"School bus"
"ICEB-G",9,9,2006,"School bus"
"ICEB-D",9,262,2006,"School bus"
"HEB-G",9,0,2006,"School bus"
"HEB-D",9,0,2006,"School bus"
"CNGB",9,0,2006,"School bus"
"EB",9,0,2006,"School bus"
"ICEB-G",10,7,2006,"School bus"
"ICEB-D",10,186,2006,"School bus"
"HEB-G",10,0,2006,"School bus"
"HEB-D",10,0,2006,"School bus"
"CNGB",10,0,2006,"School bus"
"EB",10,0,2006,"School bus"
"ICEB-G",11,10,2006,"School bus"
"ICEB-D",11,291,2006,"School bus"
"HEB-G",11,0,2006,"School bus"
"HEB-D",11,0,2006,"School bus"
"CNGB",11,0,2006,"School bus"
"EB",11,0,2006,"School bus"
"ICEB-G",12,9,2006,"School bus"
"ICEB-D",12,251,2006,"School bus"
"HEB-G",12,0,2006,"School bus"
"HEB-D",12,0,2006,"School bus"
"CNGB",12,0,2006,"School bus"
"EB",12,0,2006,"School bus"
"ICEB-G",13,8,2006,"School bus"
"ICEB-D",13,228,2006,"School bus"
"HEB-G",13,0,2006,"School bus"
"HEB-D",13,0,2006,"School bus"
"CNGB",13,0,2006,"School bus"
"EB",13,0,2006,"School bus"
"ICEB-G",14,7,2006,"School bus"
"ICEB-D",14,185,2006,"School bus"
"HEB-G",14,0,2006,"School bus"
"HEB-D",14,0,2006,"School bus"
"CNGB",14,0,2006,"School bus"
"EB",14,0,2006,"School bus"
"ICEB-G",15,7,2006,"School bus"
"ICEB-D",15,182,2006,"School bus"
"HEB-G",15,0,2006,"School bus"
"HEB-D",15,0,2006,"School bus"
"CNGB",15,0,2006,"School bus"
"EB",15,0,2006,"School bus"
"ICEB-G",16,5,2006,"School bus"
"ICEB-D",16,141,2006,"School bus"
"HEB-G",16,0,2006,"School bus"
"HEB-D",16,0,2006,"School bus"
"CNGB",16,0,2006,"School bus"
"EB",16,0,2006,"School bus"
"ICEB-G",17,3,2006,"School bus"
"ICEB-D",17,91,2006,"School bus"
"HEB-G",17,0,2006,"School bus"
"HEB-D",17,0,2006,"School bus"
"CNGB",17,0,2006,"School bus"
"EB",17,0,2006,"School bus"
"ICEB-G",18,2,2006,"School bus"
"ICEB-D",18,56,2006,"School bus"
"HEB-G",18,0,2006,"School bus"
"HEB-D",18,0,2006,"School bus"
"CNGB",18,0,2006,"School bus"
"EB",18,0,2006,"School bus"
"ICEB-G",19,0,2006,"School bus"
"ICEB-D",19,1,2006,"School bus"
"HEB-G",19,0,2006,"School bus"
"HEB-D",19,0,2006,"School bus"
"CNGB",19,0,2006,"School bus"
"EB",19,0,2006,"School bus"
"ICEB-G",20,0,2006,"School bus"
"ICEB-D",20,1,2006,"School bus"
"HEB-G",20,0,2006,"School bus"
"HEB-D",20,0,2006,"School bus"
"CNGB",20,0,2006,"School bus"
"EB",20,0,2006,"School bus"
"ICEB-G",0,0,2007,"School bus"
"ICEB-D",0,302,2007,"School bus"
"HEB-G",0,0,2007,"School bus"
"HEB-D",0,0,2007,"School bus"
"CNGB",0,0,2007,"School bus"
"EB",0,0,2007,"School bus"
"ICEB-G",1,10,2007,"School bus"
"ICEB-D",1,399,2007,"School bus"
"HEB-G",1,0,2007,"School bus"
"HEB-D",1,0,2007,"School bus"
"CNGB",1,4,2007,"School bus"
"EB",1,0,2007,"School bus"
"ICEB-G",2,0,2007,"School bus"
"ICEB-D",2,233,2007,"School bus"
"HEB-G",2,0,2007,"School bus"
"HEB-D",2,0,2007,"School bus"
"CNGB",2,0,2007,"School bus"
"EB",2,0,2007,"School bus"
"ICEB-G",3,6,2007,"School bus"
"ICEB-D",3,199,2007,"School bus"
"HEB-G",3,0,2007,"School bus"
"HEB-D",3,0,2007,"School bus"
"CNGB",3,0,2007,"School bus"
"EB",3,0,2007,"School bus"
"ICEB-G",4,6,2007,"School bus"
"ICEB-D",4,201,2007,"School bus"
"HEB-G",4,0,2007,"School bus"
"HEB-D",4,0,2007,"School bus"
"CNGB",4,0,2007,"School bus"
"EB",4,0,2007,"School bus"
"ICEB-G",5,5,2007,"School bus"
"ICEB-D",5,178,2007,"School bus"
"HEB-G",5,0,2007,"School bus"
"HEB-D",5,0,2007,"School bus"
"CNGB",5,0,2007,"School bus"
"EB",5,0,2007,"School bus"
"ICEB-G",6,8,2007,"School bus"
"ICEB-D",6,232,2007,"School bus"
"HEB-G",6,0,2007,"School bus"
"HEB-D",6,0,2007,"School bus"
"CNGB",6,0,2007,"School bus"
"EB",6,0,2007,"School bus"
"ICEB-G",7,12,2007,"School bus"
"ICEB-D",7,356,2007,"School bus"
"HEB-G",7,0,2007,"School bus"
"HEB-D",7,0,2007,"School bus"
"CNGB",7,0,2007,"School bus"
"EB",7,0,2007,"School bus"
"ICEB-G",8,7,2007,"School bus"
"ICEB-D",8,223,2007,"School bus"
"HEB-G",8,0,2007,"School bus"
"HEB-D",8,0,2007,"School bus"
"CNGB",8,0,2007,"School bus"
"EB",8,0,2007,"School bus"
"ICEB-G",9,7,2007,"School bus"
"ICEB-D",9,211,2007,"School bus"
"HEB-G",9,0,2007,"School bus"
"HEB-D",9,0,2007,"School bus"
"CNGB",9,0,2007,"School bus"
"EB",9,0,2007,"School bus"
"ICEB-G",10,8,2007,"School bus"
"ICEB-D",10,257,2007,"School bus"
"HEB-G",10,0,2007,"School bus"
"HEB-D",10,0,2007,"School bus"
"CNGB",10,0,2007,"School bus"
"EB",10,0,2007,"School bus"
"ICEB-G",11,6,2007,"School bus"
"ICEB-D",11,183,2007,"School bus"
"HEB-G",11,0,2007,"School bus"
"HEB-D",11,0,2007,"School bus"
"CNGB",11,0,2007,"School bus"
"EB",11,0,2007,"School bus"
"ICEB-G",12,9,2007,"School bus"
"ICEB-D",12,290,2007,"School bus"
"HEB-G",12,0,2007,"School bus"
"HEB-D",12,0,2007,"School bus"
"CNGB",12,0,2007,"School bus"
"EB",12,0,2007,"School bus"
"ICEB-G",13,8,2007,"School bus"
"ICEB-D",13,248,2007,"School bus"
"HEB-G",13,0,2007,"School bus"
"HEB-D",13,0,2007,"School bus"
"CNGB",13,0,2007,"School bus"
"EB",13,0,2007,"School bus"
"ICEB-G",14,7,2007,"School bus"
"ICEB-D",14,221,2007,"School bus"
"HEB-G",14,0,2007,"School bus"
"HEB-D",14,0,2007,"School bus"
"CNGB",14,0,2007,"School bus"
"EB",14,0,2007,"School bus"
"ICEB-G",15,6,2007,"School bus"
"ICEB-D",15,175,2007,"School bus"
"HEB-G",15,0,2007,"School bus"
"HEB-D",15,0,2007,"School bus"
"CNGB",15,0,2007,"School bus"
"EB",15,0,2007,"School bus"
"ICEB-G",16,6,2007,"School bus"
"ICEB-D",16,179,2007,"School bus"
"HEB-G",16,0,2007,"School bus"
"HEB-D",16,0,2007,"School bus"
"CNGB",16,0,2007,"School bus"
"EB",16,0,2007,"School bus"
"ICEB-G",17,5,2007,"School bus"
"ICEB-D",17,134,2007,"School bus"
"HEB-G",17,0,2007,"School bus"
"HEB-D",17,0,2007,"School bus"
"CNGB",17,0,2007,"School bus"
"EB",17,0,2007,"School bus"
"ICEB-G",18,3,2007,"School bus"
"ICEB-D",18,82,2007,"School bus"
"HEB-G",18,0,2007,"School bus"
"HEB-D",18,0,2007,"School bus"
"CNGB",18,0,2007,"School bus"
"EB",18,0,2007,"School bus"
"ICEB-G",19,1,2007,"School bus"
"ICEB-D",19,17,2007,"School bus"
"HEB-G",19,0,2007,"School bus"
"HEB-D",19,0,2007,"School bus"
"CNGB",19,0,2007,"School bus"
"EB",19,0,2007,"School bus"
"ICEB-G",20,0,2007,"School bus"
"ICEB-D",20,0,2007,"School bus"
"HEB-G",20,0,2007,"School bus"
"HEB-D",20,0,2007,"School bus"
"CNGB",20,0,2007,"School bus"
"EB",20,0,2007,"School bus"
"ICEB-G",0,0,2008,"School bus"
"ICEB-D",0,610,2008,"School bus"
"HEB-G",0,0,2008,"School bus"
"HEB-D",0,0,2008,"School bus"
"CNGB",0,0,2008,"School bus"
"EB",0,0,2008,"School bus"
"ICEB-G",1,0,2008,"School bus"
"ICEB-D",1,302,2008,"School bus"
"HEB-G",1,0,2008,"School bus"
"HEB-D",1,0,2008,"School bus"
"CNGB",1,0,2008,"School bus"
"EB",1,0,2008,"School bus"
"ICEB-G",2,9,2008,"School bus"
"ICEB-D",2,399,2008,"School bus"
"HEB-G",2,0,2008,"School bus"
"HEB-D",2,0,2008,"School bus"
"CNGB",2,4,2008,"School bus"
"EB",2,0,2008,"School bus"
"ICEB-G",3,0,2008,"School bus"
"ICEB-D",3,232,2008,"School bus"
"HEB-G",3,0,2008,"School bus"
"HEB-D",3,0,2008,"School bus"
"CNGB",3,0,2008,"School bus"
"EB",3,0,2008,"School bus"
"ICEB-G",4,6,2008,"School bus"
"ICEB-D",4,199,2008,"School bus"
"HEB-G",4,0,2008,"School bus"
"HEB-D",4,0,2008,"School bus"
"CNGB",4,0,2008,"School bus"
"EB",4,0,2008,"School bus"
"ICEB-G",5,6,2008,"School bus"
