"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"AUDI","A4 AVANT 1.4 TFSI S","Multi-purpose Vehicle/Station-wagon",1395,110,"Petrol","Sequential","YES","NO","7.1","4.7",5.6,"164","110",129,"C2"
"AUDI","A4 AVANT 1.4 TFSI S","Multi-purpose Vehicle/Station-wagon",1395,110,"Petrol","Sequential","YES","NO","7.1","4.7",5.6,"164","110",129,"C2"
"AUDI","A4 AVANT 2.0 TFSI QU","Multi-purpose Vehicle/Station-wagon",1984,185,"Petrol","Sequential","YES","NO","8.1","5.6",6.5,"184","128",149,"C2"
"AUDI","A4 AVANT 2.0 TFSI S","Multi-purpose Vehicle/Station-wagon",1984,140,"Petrol","Sequential","YES","NO","6.7","4.5999999999999996",5.4,"153","106",124,"B"
"AUDI","A4 SEDAN 2.0 TFSI","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.6","4.4000000000000004",5.2,"149","100",119,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.6","4.4000000000000004",5.2,"149","100",119,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.6","4.4000000000000004",5.2,"149","100",119,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.6","4.5",5.3,"153","102",121,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.8","4.8",5.5,"153","108",124,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.9","4.8",5.6,"155","110",127,"B"
"AUDI","A4 SEDAN 2.0 TFSI S","Sedan",1984,140,"Petrol","Sequential","YES","NO","6.6","4.4000000000000004",5.2,"149","100",119,"B"
"AUDI","A4 1.4 TFSI DESIGN","Sedan",1395,110,"Petrol","Sequential","YES","NO","6.8","4.4000000000000004",5.3,"157","103",122,"C2"
"AUDI","A4 1.4 TFSI DESIGN","Sedan",1395,110,"Petrol","Sequential","YES","NO","6.8","4.4000000000000004",5.3,"157","103",122,"C2"
"AUDI","A4 1.4 TFSI DESIGN","Sedan",1395,110,"Petrol","Sequential","YES","NO","7","4.5999999999999996",5.5,"161","107",126,"C2"
"AUDI","A4 1.4 TFSI S TRONIC","Sedan",1395,110,"Petrol","Sequential","YES","NO","6.7","4.3",5.2,"154","100",119,"C2"
"AUDI","A4 1.4 TFSI S TRONIC","Sedan",1395,110,"Petrol","Sequential","YES","NO","6.7","4.3",5.2,"154","100",119,"C2"
"AUDI","A4 2.0 TFSI QU","Sedan",1984,185,"Petrol","Sequential","YES","NO","7.8","5.2",6.2,"176","120",141,"C2"
"AUDI","A4 2.0 TFSI QU","Sedan",1984,185,"Petrol","Sequential","YES","NO","7.8","5.2",6.2,"176","120",141,"C2"
"AUDI","A4 2.0 TFSI QU","Sedan",1984,185,"Petrol","Sequential","YES","NO","7.9","5.4",6.3,"178","123",144,"C2"
"AUDI","A5 CABRIOLET 2.0","Coupe/ Convertible",1984,140,"Petrol","Sequential","YES","NO","7.2","5.0999999999999996",5.9,"162","116",133,"B"
"AUDI","A5 CABRIOLET 2.0","Coupe/ Convertible",1984,185,"Petrol","Sequential","YES","NO","8.3000000000000007","5.7",6.7,"189","130",152,"B"
"AUDI","A5 DESIGN 2.0 TFSI S","Coupe/ Convertible",1984,140,"Petrol","Sequential","YES","NO","6.8","4.7",5.5,"155","107",125,"B"
"AUDI","A5 DESIGN 2.0 TFSI S","Coupe/ Convertible",1984,140,"Petrol","Sequential","YES","NO","6.8","4.7",5.5,"155","107",125,"B"
"AUDI","A5 DESIGN 2.0 TFSI S","Coupe/ Convertible",1984,140,"Petrol","Sequential","YES","NO","6.8","4.8",5.6,"155","110",128,"B"
"AUDI","A5 SB 2.0 TFSI QU S","Hatchback",1984,185,"Petrol","Sequential","YES","NO","8","5.4",6.4,"180","121",146,"C2"
"AUDI","A5 SB 2.0 TFSI QU","Hatchback",1984,185,"Petrol","Sequential","YES","NO","8.1","5.6",6.5,"182","125",149,"C2"
"AUDI","A5 SB 2.0 TFSI S","Hatchback",1984,140,"Petrol","Sequential","YES","NO","6.9","4.9000000000000004",5.6,"157","110",128,"B"
"AUDI","A5 SB 2.0 TFSI S","Hatchback",1984,140,"Petrol","Sequential","YES","NO","7","4.9000000000000004",5.6,"158","111",128,"B"
"AUDI","A5 SB 2.0 TFSI S","Hatchback",1984,140,"Petrol","Sequential","YES","NO","7","4.9000000000000004",5.7,"159","112",129,"B"
"AUDI","A5 SB 2.0 TFSI S","Hatchback",1984,140,"Petrol","Sequential","YES","NO","7","4.9000000000000004",5.6,"158","111",128,"B"
"AUDI","A5 SB 2.0 TFSI S","Hatchback",1984,140,"Petrol","Sequential","YES","NO","6.9","4.9000000000000004",5.6,"157","110",128,"B"
"AUDI","A5 SPORT 2.0 TFSI QU","Coupe/ Convertible",1984,185,"Petrol","Sequential","YES","NO","7.7","5.2",6.4,"180","121",146,"C2"
"AUDI","A6 AVANT 1.8 TFSI","Multi-purpose Vehicle/Station-wagon",1798,140,"Petrol","Sequential","YES","NO","7.1","5.0999999999999996",5.9,"166","120",137,"B"
"AUDI","A6 AVANT 1.8 TFSI","Multi-purpose Vehicle/Station-wagon",1798,140,"Petrol","Sequential","YES","NO","7.1","5.0999999999999996",5.9,"166","120",137,"B"
"AUDI","A6 DESIGN 2.0 TFSI","Sedan",1984,180,"Petrol-Electric","Sequential","YES","YES","8.8000000000000007","5.9",7,"200","135",159,"B"
"AUDI","A6 DESIGN 2.0 TFSI","Sedan",1984,180,"Petrol-Electric","Sequential","YES","YES","8.8000000000000007","5.9",7,"200","135",159,"B"
"AUDI","A6 DESIGN 2.0 TFSI","Sedan",1984,180,"Petrol-Electric","Sequential","YES","YES","8.6999999999999993","5.7",6.8,"198","130",155,"B"
"AUDI","A6 1.8 TFSI (NAV &","Sedan",1798,140,"Petrol","Sequential","YES","NO","7.1","5",5.7,"164","115",133,"B"
"AUDI","A6 1.8 TFSI S TRONIC","Sedan",1798,140,"Petrol","Sequential","YES","NO","7.1","5",5.7,"164","115",133,"B"
"AUDI","A6 1.8 TFSI ULTRA","Sedan",1798,140,"Petrol","Sequential","YES","NO","7.1","5",5.7,"164","115",133,"B"
"AUDI","A6 1.8 TFSI ULTRA","Sedan",1798,140,"Petrol","Sequential","YES","NO","7.1","5",5.7,"164","115",133,"B"
"AUDI","A6 1.8 TFSI ULTRA","Sedan",1798,140,"Petrol","Sequential","YES","NO","7.1","5",5.7,"164","115",133,"B"
"AUDI","A6 2.0 TFSI (PI)","Sedan",1984,185,"Petrol","Sequential","YES","NO","7.4","5.0999999999999996",5.9,"171","117",137,"C1"
"AUDI","A6 2.0 TFSI QU S","Sedan",1984,185,"Petrol","Sequential","YES","NO","8.6","6",7,"196","138",159,"B"
"AUDI","A6 3.0 TFSI QU S","Sedan",2995,250,"Petrol-Electric","Sequential","YES","YES","9.4","5.9",7.2,"214","134",164,"C1"
"AUDI","A6 3.0 TFSI QU S","Sedan",2995,250,"Petrol-Electric","Sequential","YES","YES","9.4","5.9",7.2,"214","134",164,"C1"
"AUDI","A6 3.0 TFSI QU S","Sedan",2995,250,"Petrol-Electric","Sequential","YES","YES","9.5","6",7.3,"216","137",166,"C1"
"AUDI","A6 3.0 TFSI QU S","Sedan",2995,245,"Petrol","Sequential","YES","NO","10","6.3",7.6,"231","146",177,"C1"
"AUDI","A7 SB 2.0 TFSI (LED)","Hatchback",1984,185,"Petrol","Sequential","YES","NO","7.4","5.0999999999999996",5.9,"171","117",137,"C1"
"AUDI","A7 SB 3.0 TFSI QU","Hatchback",2995,245,"Petrol","Sequential","YES","NO","10","6.2",7.6,"230","144",176,"C1"
"AUDI","A7 SB 3.0 TFSI QU S","Hatchback",2995,250,"Petrol-Electric","Sequential","YES","YES","9.5","6",7.3,"215","136",165,"C1"
