"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"B.M.W.","440I CONVERTIBLE HID","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.5","5.8",7.2,"222","135",167,"C1"
"B.M.W.","440I CONVERTIBLE HID","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.5","5.8",7.2,"222","135",167,"C1"
"B.M.W.","440I CONVERTIBLE LED","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.5","5.8",7.2,"222","135",167,"C1"
"B.M.W.","440I COUPE LED NAV","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.1","5.5",6.8,"212","128",159,"B"
"B.M.W.","440I COUPE M SPORT","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.1","5.5",6.8,"212","128",159,"B"
"B.M.W.","440I GC LED NAV HUD","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.1","5.5",6.8,"212","128",159,"B"
"B.M.W.","440I GRAN COUPE SR","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.1","5.5",6.8,"212","128",159,"B"
"B.M.W.","440I M SPORT GRAN","Coupe/ Convertible",2998,240,"Petrol","Automatic","YES","NO","9.1","5.5",6.8,"212","128",159,"B"
"B.M.W.","520i AT D/AB 2WD 4DR","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520i AT D/AB 2WD 4DR","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520i AT D/AB 2WD 4DR","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520D LED NAV EU6","Sedan",1995,140,"Diesel","Automatic","YES","NO","5.0999999999999996","4.4000000000000004",4.7,"135","117",124,"A2"
"B.M.W.","520D TOURING SR NAV","Multi-purpose Vehicle/Station-wagon",1995,140,"Diesel","Automatic","YES","NO","5.4","4.7",4.9,"142","123",130,"B"
"B.M.W.","520I","Sedan",1998,135,"Petrol","Automatic","YES","NO","8","5.6",6.5,"184","129",149,"B"
"B.M.W.","520I AT D/AB 2WD 4DR","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520I AT 2WD 4DR HID","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520I AT 2WD 4DR LED","Sedan",1997,135,"Petrol","Automatic","YES","NO","8.6","5.0999999999999996",6.4,"201","119",149,"B"
"B.M.W.","520I LED NAV","Sedan",1998,135,"Petrol","Automatic","YES","NO","7.4","5.5",6.2,"169","125",141,"B"
"B.M.W.","520I LED NAV MSPT","Sedan",1998,135,"Petrol","Automatic","YES","NO","7.4","5.5",6.2,"169","125",141,"B"
"B.M.W.","520I LED NAV SR MSPT","Sedan",1998,135,"Petrol","Automatic","YES","NO","7.4","5.5",6.2,"169","125",141,"B"
"B.M.W.","520I MSPT","Sedan",1998,135,"Petrol","Automatic","YES","NO","8","5.6",6.5,"184","129",149,"B"
"B.M.W.","528i AT D/AB DSC LED","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528i AT D/AB DSC LED","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528i AT D/AB SR LED","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528i AT D/AB SR LED","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528i GT AT D/AB DSC","Hatchback",1997,180,"Petrol","Automatic","YES","NO","9.1","5.8",7,"212","136",164,"C1"
"B.M.W.","528i M SPORT D/AB","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528I AT D/AB LED NAV","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528I AT DSC HID NAV","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528I AT HUD DSC LED","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528I GT AT D/AB DSC","Hatchback",1997,180,"Petrol","Automatic","YES","NO","9.1","5.8",7,"212","136",164,"C1"
"B.M.W.","528I GT M SPORT AT","Hatchback",1997,180,"Petrol","Automatic","YES","NO","9.1","5.8",7,"212","136",164,"C1"
"B.M.W.","528I M SPORT AT HUD","Sedan",1997,180,"Petrol","Automatic","YES","NO","8.6","5.3",6.5,"200","124",152,"C1"
"B.M.W.","528I TOURING A/T S/R","Multi-purpose Vehicle/Station-wagon",1997,180,"Petrol","Automatic","YES","NO","9","5.6",6.8,"209","130",159,"C1"
"B.M.W.","528I TOURING M SPORT","Multi-purpose Vehicle/Station-wagon",1997,180,"Petrol","Automatic","YES","NO","9","5.6",6.8,"209","130",159,"C1"
"B.M.W.","530E IPERFORMANCE","Sedan",1998,218,"Petrol-Electric","Automatic","YES","YES","-","-",2,"-","-",108.4,"B"
"B.M.W.","530E LED NAV","Sedan",1998,185,"Petrol-Electric","Automatic","YES","YES","-","-",2.3,"-","-",111,"B"
"B.M.W.","530E MSPT","Sedan",1998,185,"Petrol-Electric","Automatic","YES","YES","-","-",2.3,"-","-",111,"B"
"B.M.W.","530I LED NAV","Sedan",1998,185,"Petrol","Automatic","YES","NO","7.5","5.5",6.2,"170","125",141,"B"
"B.M.W.","530I LED NAV HUD","Sedan",1998,185,"Petrol","Automatic","YES","NO","7.5","5.5",6.2,"170","125",141,"B"
"B.M.W.","530I LED NAV HUD","Sedan",1998,185,"Petrol","Automatic","YES","NO","7.5","5.5",6.2,"170","125",141,"B"
"B.M.W.","530I LED NAV HUD","Sedan",1998,185,"Petrol","Automatic","YES","NO","7.5","5.5",6.2,"170","125",141,"B"
"B.M.W.","530I LED NAV RCP","Sedan",1998,185,"Petrol","Automatic","YES","NO","7.5","5.5",6.2,"170","125",141,"B"
"B.M.W.","530I MSPT HUD NAV","Sedan",1998,185,"Petrol","Automatic","YES","NO","8","5.7",6.5,"182","130",149,"B"
"B.M.W.","530I MSPT SR RCP NAV","Sedan",1998,185,"Petrol","Automatic","YES","NO","8","5.7",6.5,"182","130",149,"B"
"B.M.W.","530I NAV ADAPTIVE","Sedan",1998,185,"Petrol","Automatic","YES","NO","8","5.7",6.5,"182","130",149,"B"
"B.M.W.","530I NAV HUD LED","Sedan",1998,185,"Petrol","Automatic","YES","NO","8","5.7",6.5,"182","130",149,"B"
"B.M.W.","530I TOURING SR MSPT","Multi-purpose Vehicle/Station-wagon",1998,185,"Petrol","Automatic","YES","NO","7.7","5.8",6.5,"175","133",148,"C1"
"B.M.W.","540I LED NAV HUD","Sedan",2998,250,"Petrol","Automatic","YES","NO","9.3000000000000007","5.9",7.2,"212","136",164,"C1"
"B.M.W.","540I LED NAV HUD","Sedan",2998,250,"Petrol","Automatic","YES","NO","9.3000000000000007","5.9",7.2,"212","136",164,"C1"
"B.M.W.","540I","Sedan",2998,250,"Petrol","Automatic","YES","NO","9.3000000000000007","6.2",7.3,"213","142",168,"C1"
"B.M.W.","540I SR LED NAV HUD","Sedan",2998,250,"Petrol","Automatic","YES","NO","9.3000000000000007","5.9",7.2,"212","136",164,"C1"
"B.M.W.","540I XDRIVE LED NAV","Multi-purpose Vehicle/Station-wagon",2998,250,"Petrol","Automatic","YES","NO","9.9","6.8",7.9,"226","155",181,"C1"
"B.M.W.","630I GT LED NAV HUD","Hatchback",1998,190,"Petrol","Automatic","YES","NO","8.3000000000000007","6.2",7,"189","142",159,"B"
"B.M.W.","630I GT LED NAV HUD","Hatchback",1998,190,"Petrol","Automatic","YES","NO","8.3000000000000007","6.2",7,"189","142",159,"B"
"B.M.W.","630I GT LED NAV HUD","Hatchback",1998,190,"Petrol","Automatic","YES","NO","8.3000000000000007","6.2",7,"189","142",159,"B"
"B.M.W.","630IGT LED FOGLIGHT","Hatchback",1998,190,"Petrol","Automatic","YES","NO","8.5","6.5",7.2,"194","148",165,"C1"
"B.M.W.","630IGT LED HEADLIGHT","Hatchback",1998,190,"Petrol","Automatic","YES","NO","8.5","6.5",7.2,"194","148",165,"C1"
"B.M.W.","640I CONVERTIBLE LED","Coupe/ Convertible",2979,235,"Petrol","Automatic","YES","NO","11","6.1",7.9,"256","142",184,"C1"
"B.M.W.","640I CONVERTIBLE M","Coupe/ Convertible",2979,235,"Petrol","Automatic","YES","NO","11","6.1",7.9,"256","142",184,"C1"
"B.M.W.","640I COUPE SR LED","Coupe/ Convertible",2979,235,"Petrol","Automatic","YES","NO","10.7","6",7.7,"250","139",180,"C1"
"B.M.W.","640I GRAN COUPE M","Sedan",2979,235,"Petrol","Automatic","YES","NO","10.9","6",7.8,"253","141",182,"C1"
"B.M.W.","640I GRAN COUPE SR","Sedan",2979,235,"Petrol","Automatic","YES","NO","10.9","6",7.8,"253","141",182,"C1"
"B.M.W.","640I XDRIVE LED NAV","Hatchback",2998,250,"Petrol","Automatic","YES","NO","11.3","6.9",8.5,"259","159",195,"C2"
"B.M.W.","730I LED SR NAV HUD","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.3",6.3,"182","124",145,"C1"
"B.M.W.","730I LED SR NAV HUD","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.3",6.3,"182","124",145,"C1"
"B.M.W.","730I M SPORT LED SR","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.3",6.3,"182","124",145,"C1"
"B.M.W.","730I M SPORT LED SR","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.3",6.3,"182","124",145,"C1"
"B.M.W.","730LI LED NAV HUD SR","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.4",6.3,"182","125",146,"C1"
"B.M.W.","730LI LED NAV HUD SR","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.4",6.3,"182","125",146,"C1"
"B.M.W.","730LI LED NAV SR","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.4",6.3,"182","125",146,"C1"
"B.M.W.","730LI M SPORT LED","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.4",6.3,"182","125",146,"C1"
"B.M.W.","730LI M SPORT LED","Sedan",1998,190,"Petrol","Automatic","YES","NO","7.9","5.4",6.3,"182","125",146,"C1"
"B.M.W.","730LI MSPTSR","Sedan",1998,195,"Petrol","Automatic","YES","NO","8.6","6.3",7.1,"196","144",163,"C1"
"B.M.W.","730LI SR ADAPTIVE","Sedan",1998,195,"Petrol","Automatic","YES","NO","8.6","6.3",7.1,"196","144",163,"C1"
"B.M.W.","740I LED SR NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740I LED SR NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740I LED SR NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740I M SPORT LASER","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740I M SPORT LED SR","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740LE XDRIVE MSPT","Sedan",1998,240,"Petrol-Electric","Automatic","YES","YES","-","-",2.8,"-","-",122.6,"A2"
"B.M.W.","740LE XDRIVE SR","Sedan",1998,240,"Petrol-Electric","Automatic","YES","YES","-","-",2.8,"-","-",122.6,"A2"
"B.M.W.","740LE XDRIVE SR LED","Sedan",1998,240,"Petrol-Electric","Automatic","YES","YES","-","-",2.8,"-","-",122,"A2"
"B.M.W.","740LI M SPORT SR LED","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740LI PGR LASERHL","Sedan",2998,250,"Petrol","Automatic","YES","NO","10.1","6.6",7.9,"230","151",180,"C1"
"B.M.W.","740LI PGR LASERHL","Sedan",2998,250,"Petrol","Automatic","YES","NO","10.1","6.6",7.9,"230","151",180,"C1"
"B.M.W.","740LI SR LED NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740LI SR LED NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740LI SR LED NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","740LI SR LED NAV HUD","Sedan",2998,240,"Petrol","Automatic","YES","NO","9.6999999999999993","5.5",7,"225","129",164,"C1"
"B.M.W.","745LE XDRIVE","Sedan",2998,293,"Petrol-Electric","Automatic","YES","YES","-","-",2.8,"-","-",143,"B"
"B.M.W.","750I LASER SR NAV","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.7","6.4",8.3,"272","149",194,"C2"
"B.M.W.","750I M SPORT LASER","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.7","6.4",8.3,"272","149",194,"C2"
"B.M.W.","750LI LASER SR NAV","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI LASER SR NAV","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI LASER SR NAV","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI LASER SR NAV","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI M SPORT LASER","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI M SPORT LASER","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","750LI M SPORT LASER","Sedan",4395,330,"Petrol","Automatic","YES","NO","11.9","6.5",8.5,"276","151",197,"C2"
"B.M.W.","760LI M SPORT A/T","Sedan",5972,400,"Petrol","Automatic","YES","NO","20.5","9.3000000000000007",13.4,"479","218",314,"C2"
"B.M.W.","840I COUPE","Coupe/ Convertible",2998,250,"Petrol","Automatic","YES","NO","9.8000000000000007","6.5",7.7,"223","149",176,"C1"
"BYD","E6H","Taxi",0,90,"Electric","Automatic","NO","NO","0","0",202,"0","0",80.8,"A1"
"BYD","T3","Van",0,100,"Electric","Automatic","NO","NO","0","0",187,"0","0",74.8,"-"
"BLUECAR","BLUECAR","Hatchback",0,50,"Electric","Automatic","NO","NO","0","0",186,"0","0",74.4,"A1"
"CHRYSLER","300C LX AT SR","Sedan",3604,210,"Petrol","Automatic","NO","NO","14.3","7.1",9.7,"334","165",227,"C2"
"CITROEN","BERLINGO L2 1.6","Van",1560,73,"Diesel","Automatic","YES","NO","4.2","4.0999999999999996",4.1,"112","107",108,"-"
"CITROEN","BERLINGO VAN 1.5","Van",1499,96,"Diesel","Automatic","YES","NO","4.9000000000000004","4.5",4.6,"128.28","117.46",121.43,"-"
"CITROEN","BERLINGO 1.5 BLUEHDI","Van",1499,75,"Diesel","Manual","YES","NO","4.8","4.4000000000000004",4.5,"124.87","115.2",118.79,"-"
"CITROEN","C3 AIRCROSS FEEL 1.2","Sports Utility Vehicle",1199,81,"Petrol","Automatic","YES","NO","6.9","4.8",5.6,"155","109",126,"C1"
"CITROEN","C3 AIRCROSS SHINE","Sports Utility Vehicle",1199,81,"Petrol","Automatic","YES","NO","6.9","4.8",5.6,"155","109",126,"C1"
"CITROEN","C4 CACTUS 1.2 AT6","Sports Utility Vehicle",1199,81,"Petrol","Automatic","YES","NO","5.6","3.9",4.6,"130","91",105,"B"
"CITROEN","C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1560,88,"Diesel","Automatic","YES","NO","4.3","3.5",3.8,"112","92",100,"C2"
"CITROEN","C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1560,88,"Diesel","Automatic","YES","NO","4.3","3.5",3.8,"112","92",100,"C2"
"CITROEN","C5 AIRCROSS 1.6L","Sports Utility Vehicle",1598,133,"Petrol","Automatic","YES","NO","7.1","4.9000000000000004",5.7,"163.96","112.94",131.56,"C1"
"CITROEN","C5 AIRCROSS 1.6L","Sports Utility Vehicle",1598,133,"Petrol","Automatic","YES","NO","7.1","4.9000000000000004",5.7,"163.96","112.94",131.56,"C1"
"CITROEN","DISPATCH L1 1.6 HDI","Van",1560,70,"Diesel","Sequential","YES","NO","5.5","5.3",5.4,"142","137",139,"-"
"CITROEN","DISPATCH L2 2.0 HDI","Van",1997,130,"Diesel","Automatic","YES","NO","6.1","5.4",5.7,"161","141",151,"-"
"CITROEN","DS3 CABRIO PURETECH","Coupe/ Convertible",1199,81,"Petrol","Automatic","YES","NO","6","4.2",4.9,"138","97",112,"B"
"CITROEN","DS4 CROSSBACK 1.6","Hatchback",1560,88,"Diesel","Automatic","YES","NO","4.5","3.6",3.9,"118","93",102,"C2"
"CITROEN","DS4 1.6 BLUEHDI S&S","Hatchback",1560,88,"Diesel","Automatic","YES","NO","4.5","3.6",3.9,"118","93",102,"C2"
"CITROEN","DS4 1.6 BLUEHDI S&S","Hatchback",1560,88,"Diesel","Automatic","YES","NO","4.5","3.6",3.9,"118","93",102,"C2"
"CITROEN","DS5 1.6 BLUEHDI S&S","Hatchback",1560,88,"Diesel","Automatic","YES","NO","4.8","3.7",4.1,"126","97",108,"C2"
"CITROEN","DS5 1.6 THP S&S EAT6","Hatchback",1598,121.4,"Petrol","Automatic","YES","NO","7.7","4.9000000000000004",5.9,"179","112",136,"C1"
"CITROEN","DS7 CROSSBACK","Sports Utility Vehicle",1598,133,"Petrol","Automatic","YES","NO","7.5","4.9000000000000004",5.9,"172.7","112.78",134.9,"C1"
"CITROEN","DS7 CROSSBACK 1.6","Sports Utility Vehicle",1598,133,"Petrol","Automatic","YES","NO","7.5","4.9000000000000004",5.9,"172.7","112.78",134.9,"C1"
"CITROEN","DS7 CROSSBACK 1.6L","Sports Utility Vehicle",1598,165,"Petrol","Automatic","YES","NO","8.3000000000000007","6.1",6.9,"194","142",161,"C1"
"CITROEN","GC4 PICASSO 1.2","Multi-purpose Vehicle/Station-wagon",1199,96,"Petrol","Automatic","YES","NO","6.4","4.4000000000000004",5.1,"143","100",115,"C1"
"CITROEN","GRAND C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1560,88,"Diesel","Automatic","YES","NO","4.5999999999999996","3.8",4.1,"119","99",105,"C2"
"CITROEN","GRAND C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1598,121.4,"Petrol","Automatic","YES","NO","7.4","4.5999999999999996",5.6,"170","107",130,"C2"
"CITROEN","GRAND C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1598,121.4,"Petrol","Automatic","YES","NO","7.4","4.5999999999999996",5.6,"170","107",130,"C2"
"CITROEN","GRAND C4 PICASSO 1.6","Multi-purpose Vehicle/Station-wagon",1598,121.4,"Petrol","Automatic","YES","NO","7.3","4.5999999999999996",5.6,"169","106",129,"C2"
"CITROEN","GRAND C4 SPACETOURER","Multi-purpose Vehicle/Station-wagon",1199,96,"Petrol","Automatic","YES","NO","5.9","4.8",5.2,"136.63","111.28",120.56,"C1"
"CITROEN","GRAND C4 SPACETOURER","Multi-purpose Vehicle/Station-wagon",1199,96,"Petrol","Automatic","YES","NO","6.4","4.4000000000000004",5.1,"143","100",115,"C1"
"CITROEN","GRAND C4 SPACETOURER","Multi-purpose Vehicle/Station-wagon",1598,133,"Petrol","Automatic","YES","NO","7.1","4.9000000000000004",5.7,"163.96","112.94",131.56,"C2"
"FERRARI","CALIFORNIA T","Coupe/ Convertible",3855,412,"Petrol","Sequential","YES","NO","17.8","8.1999999999999993",11.7,"415","191",273,"C2"
"FERRARI","CALIFORNIA T HS","Coupe/ Convertible",3855,412,"Petrol","Sequential","YES","NO","17.8","8.1999999999999993",11.7,"415","191",273,"C2"
"FERRARI","F12TDF","Coupe/ Convertible",6262,570,"Petrol","Sequential","NO","NO","22.1","11.6",15.4,"515","271",360,"C2"
"FERRARI","GTC4LUSSO","Coupe/ Convertible",6262,507,"Petrol","Sequential","NO","NO","23.3","10.8",15.3,"533","246",350,"C2"
"FERRARI","GTC4LUSSO T","Coupe/ Convertible",3855,449,"Petrol","Sequential","YES","NO","16.899999999999999","8.6",11.6,"385","197",265,"C2"
"FERRARI","PORTOFINO","Coupe/ Convertible",3855,441,"Petrol","Sequential","YES","NO","15.5","8",10.7,"354","183",245,"C2"
"FERRARI","488 GTB","Coupe/ Convertible",3902,493,"Petrol","Sequential","YES","NO","18.399999999999999","8.6",12.1,"419","196",277,"C2"
"FERRARI","488 PISTA","Coupe/ Convertible",3902,530,"Petrol","Sequential","YES","NO","16.100000000000001","8.9",11.5,"366","204",263,"C2"
"FERRARI","488 PISTA SPIDER","Coupe/ Convertible",3902,530,"Petrol","Sequential","YES","NO","15.9","9.3000000000000007",11.7,"362","211",266,"C2"
"FERRARI","488 SPIDER","Coupe/ Convertible",3902,493,"Petrol","Sequential","YES","NO","18.399999999999999","8.6",12.1,"419","196",277,"C2"
"FERRARI","812 SUPERFAST","Coupe/ Convertible",6496,585,"Petrol","Sequential","NO","NO","21.4","11.1",14.9,"489","253",340,"C2"
"FIAT","FIAT DOBLO 1.3MJ E6","Van",1248,70,"Diesel","Manual","YES","NO","6.5","4.2",5,"170","111",133,"-"
"FIAT","FIORINO CARGO 1.3MTA","Van",1248,59,"Diesel","Sequential","YES","NO","4.5","3.4",3.8,"118","89",100,"-"
"FIAT","NEW DOBLO SX 1.6MJ","Van",1598,77,"Diesel","Manual","YES","NO","6.5","4.5999999999999996",5.3,"170","121",139,"-"
"FORD","FOCUS RS 2.3 GTDI","Hatchback",2261,257.4,"Petrol","Manual","YES","NO","10","6.3",7.7,"229","144",175,"C1"
"FORD","FOCUS TITANIUM 1.0","Hatchback",999,92,"Petrol","Automatic","YES","NO","7.4","4.4000000000000004",5.5,"169","101",125,"C1"
"FORD","FOCUS WAGON TITANIUM","Multi-purpose Vehicle/Station-wagon",999,92,"Petrol","Automatic","YES","NO","7.4","4.4000000000000004",5.5,"169","101",125,"C1"
"FORD","FOCUS 4DR TITANIUM","Sedan",999,92,"Petrol","Automatic","YES","NO","7.4","4.4000000000000004",5.5,"169","101",125,"C1"
"FORD","GRAND C-MAX TITANIUM","Multi-purpose Vehicle/Station-wagon",1498,110,"Petrol","Automatic","YES","NO","9.1999999999999993","5.4",6.8,"209","123",154,"C2"
"FORD","KUGA TITANIUM 1.5","Sports Utility Vehicle",1498,134,"Petrol","Automatic","YES","NO","9.3000000000000007","6.2",7.4,"217","145",171,"C2"
"FORD","KUGA TITANIUM 1.5","Sports Utility Vehicle",1498,134,"Petrol","Automatic","YES","NO","9.3000000000000007","6.2",7.4,"217","145",171,"C2"
"FORD","MONDEO HB TITANIUM","Hatchback",1999,177,"Petrol","Automatic","YES","NO","11.5","5.9",8,"267","138",185,"C1"
"FORD","MONDEO TITANIUM 2.0","Sedan",1999,177,"Petrol","Automatic","YES","NO","11.5","5.9",8,"267","138",185,"C1"
"FORD","MUSTANG CONVERTIBLE","Coupe/ Convertible",2261,233.2,"Petrol","Automatic","YES","NO","13.8","7.5",9.8,"316","172",225,"C2"
"FORD","MUSTANG 2.3 GTDI AT","Coupe/ Convertible",2261,233.2,"Petrol","Automatic","YES","NO","14.3","7.2",9.8,"327","166",225,"C2"
"FORD","MUSTANG 2.3L GTDI","Coupe/ Convertible",2261,228,"Petrol","Automatic","YES","NO","14.6","7.3",10,"328","166",225,"C2"
"FORD","MUSTANG 5.0 V8 GT","Coupe/ Convertible",4951,310,"Petrol","Automatic","NO","NO","18.600000000000001","8.1999999999999993",12,"434","192",281,"C2"
"FORD","RANGER D/CAB 3.2 6AT","Goods cum",3198,147,"Diesel","Automatic","YES","NO","11.4","7.3",8.8,"299","192",231,"-"
"FORD","RANGER 2.0 DOUBLE","Goods cum",1996,156.7,"Diesel","Automatic","YES","NO","9.1999999999999993","7.2",7.9,"240","188",207,"-"
"HONDA","ACCORD 1.5 VTEC","Sedan",1498,148,"Petrol","Continuous","YES","NO","8.3000000000000007","5.3",6.4,"189","121",146,"B"
"HONDA","CITY 1.5 SV CVT","Sedan",1497,88,"Petrol","Continuous","NO","NO","7.5","4.9000000000000004",5.9,"171","111",133,"B"
"HONDA","CITY 1.5 V CVT","Sedan",1497,88,"Petrol","Continuous","NO","NO","7.5","4.9000000000000004",5.9,"171","111",133,"B"
"HONDA","CIVIC TYPE R 2.0","Hatchback",1996,228,"Petrol","Manual","YES","NO","11.7","7.1",8.8,"266","161",200,"C2"
"HONDA","CIVIC 1.5 TURBO VTIS","Sedan",1498,127,"Petrol","Continuous","YES","NO","8.1","4.7",5.9,"183","107",135,"B"
"HONDA","CIVIC 1.5 TURBO VTIS","Sedan",1498,127,"Petrol","Continuous","YES","NO","8.1","4.7",5.9,"183","107",135,"B"
"HONDA","CIVIC 1.5 TURBO 5DR","Hatchback",1498,127,"Petrol","Continuous","YES","NO","8.1","4.7",6,"183","108",136,"C1"
"HONDA","CIVIC 1.6 VTI CVT","Sedan",1597,92,"Petrol","Continuous","NO","NO","9.6","5.0999999999999996",6.7,"218","115",153,"B"
"HONDA","CRV DIESEL 1.6","Sports Utility Vehicle",1597,118,"Diesel","Automatic","YES","NO","7","5.2",5.8,"183","136",153,"C2"
"HONDA","CRV 1.5 TURBO CVT","Sports Utility Vehicle",1498,142,"Petrol","Continuous","YES","NO","8.8000000000000007","5.9",7,"201","136",160,"C1"
"HONDA","CRV 1.5 TURBO CVT","Sports Utility Vehicle",1498,142,"Petrol","Continuous","YES","NO","9.1","6.2",7.3,"208","142",166,"C1"
"HONDA","FREED HYBRID 1.5G","Multi-purpose Vehicle/Station-wagon",1496,101,"Petrol-Electric","Automatic","NO","YES","4.5999999999999996","4.3",4.4,"108","102",96,"A2"
"HONDA","FREED 1.5G CVT","Multi-purpose Vehicle/Station-wagon",1496,96,"Petrol","Continuous","NO","NO","6.8","5.8",6.1,"161","133",133,"C2"
"HONDA","HRV 1.5 DX CVT","Sports Utility Vehicle",1496,96,"Petrol","Continuous","NO","NO","6.6","5.0999999999999996",5.7,"150","117",129,"B"
"HONDA","HRV 1.5 LX CVT","Sports Utility Vehicle",1496,96,"Petrol","Continuous","NO","NO","6.6","5.0999999999999996",5.7,"150","117",129,"B"
"HONDA","JADE 1.5 RS CVT","Multi-purpose Vehicle/Station-wagon",1496,110,"Petrol","Continuous","YES","NO","7.8","5.6",6.4,"177","128",146,"C1"
"HONDA","JAZZ 1.3 CVT","Hatchback",1318,73,"Petrol","Continuous","NO","NO","6.4","4.5",5.2,"145","104",119,"A2"
"HONDA","JAZZ 1.5 CVT","Hatchback",1498,96,"Petrol","Continuous","NO","NO","7","4.9000000000000004",5.6,"158","109",127,"B"
