Mode,Size,Technology,Fuel,Pollutant,Unit,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5, Euro 6 up to 2016,Euro 6 2017 to 2019,Euro 6 2020+
Public bus,,HEB-G,Gasoline,PM,g/km,,,,,,,,
Public bus,,HEB-D,Diesel,PM,g/km,,,,,,,,
Public bus,,CNGB,CNG,PM,g/km,0.02,0.01,0.01,0.005,0.005,0.005,0.005,0.005
Public bus,,EB,Electricity,PM,g/km,0,0,0,0,0,0,0,0
Public bus,,ICEB-G,Gasoline,NMVOC,g/km,0.706,0.463,0.409,0.022,0.022,0.022,0.022,0.022
Public bus,,ICEB-D,Diesel,NMVOC,g/km,0.706,0.463,0.409,0.022,0.022,0.022,0.022,0.022
Public bus,,HEB-G,Gasoline,NMVOC,g/km,,,,,,,,
Public bus,,HEB-D,Diesel,NMVOC,g/km,,,,,,,,
Public bus,,CNGB,CNG,NMVOC,g/km,0.371,0.313,0.052,0.045,0.045,0.045,0.045,0.045
Public bus,,EB,Electricity,NMVOC,g/km,0,0,0,0,0,0,0,0
Public bus,,ICEB-G,Gasoline,CO,g/km,2.71,2.44,2.67,0.223,0.223,0.223,0.223,0.223
Public bus,,ICEB-D,Diesel,CO,g/km,2.71,2.44,2.67,0.223,0.223,0.223,0.223,0.223
Public bus,,HEB-G,Gasoline,CO,g/km,,,,,,,,
Public bus,,HEB-D,Diesel,CO,g/km,,,,,,,,
Public bus,,CNGB,CNG,CO,g/km,8.4,2.7,1,1,1,1,1,1
Public bus,,EB,Electricity,CO,g/km,0,0,0,0,0,0,0,0
Coach bus,,ICEB-G,Gasoline,NOx,g/km,8.1,8.95,7.51,4.51,2.57,0.496,0.496,0.496
Coach bus,,ICEB-D,Diesel,NOx,g/km,8.1,8.95,7.51,4.51,2.57,0.496,0.496,0.496
Coach bus,,EB,Electricity,NOx,g/km,0,0,0,0,0,0,0,0
Coach bus,,ICEB-G,Gasoline,PM,g/km,0.362,0.165,0.178,0.0354,0.0354,0.0018,0.0018,0.0018
Coach bus,,ICEB-D,Diesel,PM,g/km,0.362,0.165,0.178,0.0354,0.0354,0.0018,0.0018,0.0018
Coach bus,,EB,Electricity,PM,g/km,0,0,0,0,0,0,0,0
Coach bus,,ICEB-G,Gasoline,NMVOC,g/km,0.624,0.416,0.399,0.021,0.021,0.021,0.021,0.021
Coach bus,,ICEB-D,Diesel,NMVOC,g/km,0.624,0.416,0.399,0.021,0.021,0.021,0.021,0.021
Coach bus,,EB,Electricity,NMVOC,g/km,0,0,0,0,0,0,0,0
