Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,SGP,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70318886,18.41925676,21.03386473,24.91546938,23.15748511,28.91535095,24.22718984,27.35355606,29.05455937,22.37295089,18.72520111,12.88244566,10.78588107,10.04479834,12.49530687,11.97848846,9.940345225,23.19969079,15.0856971,14.41399248,17.0461444,19.45268762,16.44426547,4.185176149,10.7744144,13.67181642,14.88593153,15.70715517,14.06951209,
Singapore,SGP,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16004000000,14467000000,17862000000,24398000000,26065000000,35989000000,32895000000,40665000000,41686000000,32721000000,31015000000,20726000000,17872000000,17088000000,24295000000,25481000000,23475000000,63265000000,41326000000,40704322000,55737500000,68350500000,60641600000,16107500000,42984300000,57892500000,65410509895,73400400000,69105855661,
Singapore,SGP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31843,1.41508,1.73749,1.81628,1.82155,2.02076,2.06807,2.02636,2.10459,2.16067,2.13328,2.33699,2.62081,2.15925,2.01297,2.14585,1.9944,1.98597,2.15996,2.28498,2.22448,,,
Singapore,SGP,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22189331,,,96.3526001,,,97.9311676,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.70774841,,,92.94178009,,,97.83848572,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92253113,,,96.75067902,,,99.058815,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.362854,,,94.58398438,,,93.19358826,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95495605,,,97.03401184,,,97.94721985,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23233795,,,96.64381409,,,99.68266296,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.21179199,,,96.07212067,,,96.31292725,,
