"Technology","Age","Value","Year","Mode","Scenario"
"ICEV-G",0,107451,2005,"Private car","Default"
"ICEV-D",0,6,2005,"Private car","Default"
"HEV-G",0,347,2005,"Private car","Default"
"CNG",0,196,2005,"Private car","Default"
"PHEV",0,0,2005,"Private car","Default"
"BEV",0,1,2005,"Private car","Default"
"ICEV-G",0,117376,2006,"Private car","Default"
"ICEV-D",0,1,2006,"Private car","Default"
"HEV-G",0,27,2006,"Private car","Default"
"CNG",0,15,2006,"Private car","Default"
"PHEV",0,0,2006,"Private car","Default"
"BEV",0,0,2006,"Private car","Default"
"ICEV-G",0,103041,2007,"Private car","Default"
"ICEV-D",0,0,2007,"Private car","Default"
"HEV-G",0,666,2007,"Private car","Default"
"CNG",0,34,2007,"Private car","Default"
"PHEV",0,0,2007,"Private car","Default"
"BEV",0,0,2007,"Private car","Default"
"ICEV-G",0,91595,2008,"Private car","Default"
"ICEV-D",0,13,2008,"Private car","Default"
"HEV-G",0,943,2008,"Private car","Default"
"CNG",0,2167,2008,"Private car","Default"
"PHEV",0,0,2008,"Private car","Default"
"BEV",0,0,2008,"Private car","Default"
"ICEV-G",0,66592,2009,"Private car","Default"
"ICEV-D",0,25,2009,"Private car","Default"
"HEV-G",0,656,2009,"Private car","Default"
"CNG",0,246,2009,"Private car","Default"
"PHEV",0,0,2009,"Private car","Default"
"BEV",0,0,2009,"Private car","Default"
"ICEV-G",0,40489,2010,"Private car","Default"
"ICEV-D",0,93,2010,"Private car","Default"
"HEV-G",0,674,2010,"Private car","Default"
"CNG",0,37,2010,"Private car","Default"
"PHEV",0,0,2010,"Private car","Default"
"BEV",0,1,2010,"Private car","Default"
"ICEV-G",0,26551,2011,"Private car","Default"
"ICEV-D",0,204,2011,"Private car","Default"
"HEV-G",0,474,2011,"Private car","Default"
"CNG",0,0,2011,"Private car","Default"
"PHEV",0,0,2011,"Private car","Default"
"BEV",0,0,2011,"Private car","Default"
"ICEV-G",0,25573,2012,"Private car","Default"
"ICEV-D",0,328,2012,"Private car","Default"
"HEV-G",0,881,2012,"Private car","Default"
"CNG",0,0,2012,"Private car","Default"
"PHEV",0,0,2012,"Private car","Default"
"BEV",0,1,2012,"Private car","Default"
"ICEV-G",0,19421,2013,"Private car","Default"
"ICEV-D",0,713,2013,"Private car","Default"
"HEV-G",0,331,2013,"Private car","Default"
"CNG",0,0,2013,"Private car","Default"
"PHEV",0,0,2013,"Private car","Default"
"BEV",0,0,2013,"Private car","Default"
"ICEV-G",0,23630,2014,"Private car","Default"
"ICEV-D",0,1741,2014,"Private car","Default"
"HEV-G",0,714,2014,"Private car","Default"
"CNG",0,0,2014,"Private car","Default"
"PHEV",0,46,2014,"Private car","Default"
"BEV",0,1,2014,"Private car","Default"
"ICEV-G",0,42970,2015,"Private car","Default"
"ICEV-D",0,2591,2015,"Private car","Default"
"HEV-G",0,728,2015,"Private car","Default"
"CNG",0,0,2015,"Private car","Default"
