"Mode","Year","Value","Unit"
"Private car",2005,15605685.69175,"thousand passenger"
"Private hire car",2005,255674.9888,"thousand passenger"
"Taxi",2005,3149916,"thousand passenger"
"Motorcycle",2005,1900180.068,"thousand passenger"
"Public bus",2005,5481160.65,"thousand passenger"
"School bus",2005,1654857.054,"thousand passenger"
"Private bus",2005,4026875.7,"thousand passenger"
"MRT",2005,5548695.375,"thousand passenger"
"LRT",2005,50404.5,"thousand passenger"
"Private car",2006,17187922.85,"thousand passenger"
"Private hire car",2006,311773.6,"thousand passenger"
"Taxi",2006,3144291.15,"thousand passenger"
"Motorcycle",2006,1943769.7,"thousand passenger"
"Public bus",2006,5484192.225,"thousand passenger"
"School bus",2006,1748808,"thousand passenger"
"Private bus",2006,4255308,"thousand passenger"
"MRT",2006,5811273.6,"thousand passenger"
"LRT",2006,54057,"thousand passenger"
"Private car",2007,18417926.8,"thousand passenger"
"Private hire car",2007,367877.12,"thousand passenger"
"Taxi",2007,3344521.2,"thousand passenger"
"Motorcycle",2007,1980051.6,"thousand passenger"
"Public bus",2007,5675838.9,"thousand passenger"
"School bus",2007,1873076.4,"thousand passenger"
"Private bus",2007,4505952,"thousand passenger"
"MRT",2007,6246651.6,"thousand passenger"
"LRT",2007,57709.5,"thousand passenger"
"Private car",2008,18632186.125,"thousand passenger"
"Private hire car",2008,390564.32,"thousand passenger"
"Taxi",2008,2988110.25,"thousand passenger"
"Motorcycle",2008,1932330.4,"thousand passenger"
"Public bus",2008,5975891.775,"thousand passenger"
"School bus",2008,1914660,"thousand passenger"
"Private bus",2008,4592653.5,"thousand passenger"
"MRT",2008,6946178.4,"thousand passenger"
"LRT",2008,67498.2,"thousand passenger"
"Private car",2009,19434654.4,"thousand passenger"
"Private hire car",2009,400247.68,"thousand passenger"
"Taxi",2009,2827035,"thousand passenger"
"Motorcycle",2009,1931648.4,"thousand passenger"
"Public bus",2009,5675875.425,"thousand passenger"
"School bus",2009,2232397.8,"thousand passenger"
"Private bus",2009,4728321,"thousand passenger"
"MRT",2009,7029455.4,"thousand passenger"
"LRT",2009,69032.25,"thousand passenger"
"Private car",2010,19533536.575,"thousand passenger"
"Private hire car",2010,407884.32,"thousand passenger"
"Taxi",2010,3097904.4,"thousand passenger"
"Motorcycle",2010,1988307,"thousand passenger"
"Public bus",2010,5608486.8,"thousand passenger"
"School bus",2010,2441973.6,"thousand passenger"
"Private bus",2010,4876032,"thousand passenger"
"MRT",2010,7783733.175,"thousand passenger"
"LRT",2010,76702.5,"thousand passenger"
"Private car",2011,19696003.25,"thousand passenger"
"Private hire car",2011,423137.6,"thousand passenger"
"Taxi",2011,3271471.2,"thousand passenger"
"Motorcycle",2011,1952112,"thousand passenger"
"Public bus",2011,5563670.625,"thousand passenger"
"School bus",2011,2759400,"thousand passenger"
"Private bus",2011,5084748,"thousand passenger"
"MRT",2011,8382487.5,"thousand passenger"
"LRT",2011,81085.5,"thousand passenger"
"Private car",2012,19273995.65,"thousand passenger"
"Private hire car",2012,432781.44,"thousand passenger"
"Taxi",2012,3426008.475,"thousand passenger"
"Motorcycle",2012,1905703.8,"thousand passenger"
"Public bus",2012,5594315.1,"thousand passenger"
"School bus",2012,3188767.5,"thousand passenger"
"Private bus",2012,4758459,"thousand passenger"
"MRT",2012,8853660,"thousand passenger"
"LRT",2012,45291,"thousand passenger"
"Private car",2013,18917145.8,"thousand passenger"
"Private hire car",2013,466958.08,"thousand passenger"
"Taxi",2013,3461328.15,"thousand passenger"
"Motorcycle",2013,1861560.3,"thousand passenger"
"Public bus",2013,5655640.575,"thousand passenger"
"School bus",2013,3402457.2,"thousand passenger"
"Private bus",2013,4292925,"thousand passenger"
"MRT",2013,9101482.125,"thousand passenger"
"LRT",2013,96426,"thousand passenger"
"Private car",2014,18380390,"thousand passenger"
"Private hire car",2014,527716,"thousand passenger"
"Taxi",2014,3725550,"thousand passenger"
"Motorcycle",2014,1848371.2,"thousand passenger"
"Public bus",2014,5891226.825,"thousand passenger"
"School bus",2014,3555959.4,"thousand passenger"
"Private bus",2014,4042464,"thousand passenger"
"MRT",2014,9281148.6,"thousand passenger"
"LRT",2014,100078.5,"thousand passenger"
"Private car",2015,17418812.075,"thousand passenger"
"Private hire car",2015,812933.92,"thousand passenger"
"Taxi",2015,3689025,"thousand passenger"
"Motorcycle",2015,1833971.2,"thousand passenger"
"Public bus",2015,6111107.325,"thousand passenger"
"School bus",2015,3748386.6,"thousand passenger"
"Private bus",2015,3004587,"thousand passenger"
"MRT",2015,10753425.7292461,"thousand passenger"
"LRT",2015,119565.940940854,"thousand passenger"
"Private car",2016,16144679.075,"thousand passenger"
"Private hire car",2016,1371697.92,"thousand passenger"
"Taxi",2016,3484485,"thousand passenger"
