"Scenario","Electrification target year","Electricity GHG intensity","Value","Unit"
"Private car ubiquity (PC)",2034,0.0826,"9.40e+01","Mt CO2 eq."
"Public transit development (PT)",2034,0.0826,"7.32e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.0826,"9.58e+01","Mt CO2 eq."
"Public transit development (PT)",2035,0.0826,"7.44e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.0826,"9.76e+01","Mt CO2 eq."
"Public transit development (PT)",2036,0.0826,"7.55e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.0826,"9.95e+01","Mt CO2 eq."
"Public transit development (PT)",2037,0.0826,"7.68e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.0826,"1.01e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.0826,"7.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.0826,"1.03e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.0826,"7.93e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.0826,"1.05e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.0826,"8.05e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.0826,"1.08e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.0826,"8.18e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.0826,"1.10e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.0826,"8.31e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.0826,"1.12e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.0826,"8.44e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.0826,"1.14e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.0826,"8.58e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.0826,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.0826,"8.72e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.0826,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.0826,"8.85e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.0826,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.0826,"8.99e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.0826,"1.22e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.0826,"9.12e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.0826,"1.24e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.0826,"9.25e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.0826,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.0826,"9.38e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.0413,"8.25e+01","Mt CO2 eq."
"Public transit development (PT)",2030,0.0413,"6.52e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.0413,"8.25e+01","Mt CO2 eq."
"Public transit development (PT)",2031,0.0413,"6.52e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.0413,"8.43e+01","Mt CO2 eq."
"Public transit development (PT)",2032,0.0413,"6.65e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.0413,"8.62e+01","Mt CO2 eq."
"Public transit development (PT)",2033,0.0413,"6.77e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.0413,"8.81e+01","Mt CO2 eq."
"Public transit development (PT)",2034,0.0413,"6.89e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.0413,"9.00e+01","Mt CO2 eq."
"Public transit development (PT)",2035,0.0413,"7.02e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.0413,"9.19e+01","Mt CO2 eq."
"Public transit development (PT)",2036,0.0413,"7.14e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.0413,"9.39e+01","Mt CO2 eq."
"Public transit development (PT)",2037,0.0413,"7.27e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.0413,"9.60e+01","Mt CO2 eq."
"Public transit development (PT)",2038,0.0413,"7.40e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.0413,"9.81e+01","Mt CO2 eq."
"Public transit development (PT)",2039,0.0413,"7.54e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.0413,"1.00e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.0413,"7.67e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.0413,"1.02e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.0413,"7.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.0413,"1.05e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.0413,"7.94e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.0413,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.0413,"8.08e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.0413,"1.09e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.0413,"8.23e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.0413,"1.11e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.0413,"8.37e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.0413,"1.13e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.0413,"8.52e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.0413,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.0413,"8.66e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.0413,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.0413,"8.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.0413,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.0413,"8.94e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.0413,"1.22e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.0413,"9.08e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0,"7.62e+01","Mt CO2 eq."
"Public transit development (PT)",2030,0,"6.07e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0,"7.62e+01","Mt CO2 eq."
"Public transit development (PT)",2031,0,"6.07e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0,"7.82e+01","Mt CO2 eq."
"Public transit development (PT)",2032,0,"6.20e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0,"8.02e+01","Mt CO2 eq."
"Public transit development (PT)",2033,0,"6.33e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0,"8.22e+01","Mt CO2 eq."
"Public transit development (PT)",2034,0,"6.47e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0,"8.41e+01","Mt CO2 eq."
"Public transit development (PT)",2035,0,"6.59e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0,"8.62e+01","Mt CO2 eq."
"Public transit development (PT)",2036,0,"6.72e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0,"8.83e+01","Mt CO2 eq."
"Public transit development (PT)",2037,0,"6.86e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0,"9.05e+01","Mt CO2 eq."
"Public transit development (PT)",2038,0,"7.00e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0,"9.28e+01","Mt CO2 eq."
"Public transit development (PT)",2039,0,"7.14e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0,"9.50e+01","Mt CO2 eq."
"Public transit development (PT)",2040,0,"7.29e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0,"9.73e+01","Mt CO2 eq."
"Public transit development (PT)",2041,0,"7.42e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0,"9.97e+01","Mt CO2 eq."
"Public transit development (PT)",2042,0,"7.57e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0,"1.02e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0,"7.72e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0,"1.04e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0,"7.88e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0,"8.03e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0,"1.09e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0,"8.18e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0,"1.11e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0,"8.33e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0,"1.13e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0,"8.48e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0,"8.63e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0,"8.78e+01","Mt CO2 eq."
