"Scenario","Electrification target year","Electricity GHG intensity","Value","Unit"
"Public transit development (PT)",2031,0.2891,"9.22e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.2891,"1.21e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.2891,"9.31e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.2891,"1.22e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.2891,"9.39e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.2891,"1.24e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.2891,"9.47e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.2891,"1.25e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.2891,"9.55e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.2891,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.2891,"9.63e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.2891,"1.27e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.2891,"9.72e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.2891,"1.29e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.2891,"9.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.2891,"1.30e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.2891,"9.89e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.2891,"1.32e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.2891,"9.98e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.2891,"1.33e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.2891,"1.01e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.2891,"1.35e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.2891,"1.02e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.2891,"1.36e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.2891,"1.02e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.2891,"1.37e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.2891,"1.03e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.2891,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.2891,"1.04e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.2891,"1.40e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.2891,"1.05e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.2891,"1.42e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.2891,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.2891,"1.43e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.2891,"1.07e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.2891,"1.45e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.2891,"1.08e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.2891,"1.46e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.2891,"1.09e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.2478,"1.14e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.2478,"8.77e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.2478,"1.14e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.2478,"8.77e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.2478,"1.15e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.2478,"8.87e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.2478,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.2478,"8.96e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.2478,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.2478,"9.04e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.2478,"1.19e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.2478,"9.13e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.2478,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.2478,"9.22e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.2478,"1.22e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.2478,"9.31e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.2478,"1.23e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.2478,"9.40e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.2478,"1.25e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.2478,"9.50e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.2478,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.2478,"9.59e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.2478,"1.28e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.2478,"9.69e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.2478,"1.30e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.2478,"9.79e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.2478,"1.31e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.2478,"9.89e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.2478,"1.33e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.2478,"9.99e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.2478,"1.34e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.2478,"1.01e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.2478,"1.36e+02","Mt CO2 eq."
