"Sector","Phase","Process","Value","Unit","Mode","Technology"
"Energy","Fuel Production","Gasoline",0.0520852109944375,"kg CO2/vkt","Private car","ICEV-G"
"Transportation","Fuel Use","Gasoline",0.1849925,"kg CO2/vkt","Private car","ICEV-G"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","ICEV-G"
"Energy","Fuel Production","Diesel",0.038619437113079,"kg CO2/vkt","Private car","ICEV-D"
"Transportation","Fuel Use","Diesel",0.155502,"kg CO2/vkt","Private car","ICEV-D"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","ICEV-D"
"Manufacturing","Vehicle production","Battery production",0.00084,"kg CO2/vkt","Private car","HEV-G"
"Energy","Fuel Production","Gasoline",0.0289599882831242,"kg CO2/vkt","Private car","HEV-G"
"Transportation","Fuel Use","Gasoline",0.102858,"kg CO2/vkt","Private car","HEV-G"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","HEV-G"
"Energy","Fuel Production","CNG",0.070466727380395,"kg CO2/vkt","Private car","CNG"
"Transportation","Fuel Use","CNG",0.2253552,"kg CO2/vkt","Private car","CNG"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","CNG"
"Manufacturing","Vehicle production","Battery production",0.0171733333333333,"kg CO2/vkt","Private car","PHEV"
"Energy","Fuel Production","Electricity",0.0580495696429875,"kg CO2/vkt","Private car","PHEV"
"Energy","Fuel Production","Gasoline",0.02167529222514,"kg CO2/vkt","Private car","PHEV"
"Transportation","Fuel Use","Gasoline",0.0769847413575311,"kg CO2/vkt","Private car","PHEV"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","PHEV"
"Manufacturing","Vehicle production","Battery production",0.0373333333333333,"kg CO2/vkt","Private car","BEV"
"Energy","Fuel Production","Electricity",0.0968544,"kg CO2/vkt","Private car","BEV"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0376933333333333,"kg CO2/vkt","Private car","BEV"
"Energy","Fuel Production","Gasoline",0.0148465762717282,"kg CO2/vkt","Motorcycle","ICEM-G"
"Transportation","Fuel Use","Gasoline",0.052731,"kg CO2/vkt","Motorcycle","ICEM-G"
"Manufacturing","Vehicle production","Motorcycle production, without battery",0.00261333333333333,"kg CO2/vkt","Motorcycle","ICEM-G"
"Manufacturing","Vehicle production","Battery production",0.00112,"kg CO2/vkt","Motorcycle","EM"
"Energy","Fuel Production","Electricity",0.013216,"kg CO2/vkt","Motorcycle","EM"
"Manufacturing","Vehicle production","Motorcycle production, without battery",0.00261333333333333,"kg CO2/vkt","Motorcycle","EM"
"Manufacturing","Vehicle production","Bus production, without battery",0.064084,"kg CO2/vkt","Public bus","ICEB-D"
"Energy","Fuel Production","Diesel",0.263899486939373,"kg CO2/vkt","Public bus","ICEB-D"
"Transportation","Fuel Use","Diesel",1.062597,"kg CO2/vkt","Public bus","ICEB-D"
"Manufacturing","Vehicle production","Battery production",0.001344,"kg CO2/vkt","Public bus","HEB-D"
"Manufacturing","Vehicle production","Bus production, without battery",0.064084,"kg CO2/vkt","Public bus","HEB-D"
"Energy","Fuel Production","Diesel",0.236692132981386,"kg CO2/vkt","Public bus","HEB-D"
"Transportation","Fuel Use","Diesel",0.953046,"kg CO2/vkt","Public bus","HEB-D"
"Manufacturing","Vehicle production","Bus production, without battery",0.064084,"kg CO2/vkt","Public bus","CNGB"
"Energy","Fuel Production","CNG",0.308250344277318,"kg CO2/vkt","Public bus","CNGB"
"Transportation","Fuel Use","CNG",0.985796,"kg CO2/vkt","Public bus","CNGB"
"Manufacturing","Vehicle production","Battery production",0.09072,"kg CO2/vkt","Public bus","EB"
"Manufacturing","Vehicle production","Bus production, without battery",0.064084,"kg CO2/vkt","Public bus","EB"
"Energy","Fuel Production","Electricity",0.79768,"kg CO2/vkt","Public bus","EB"
