"Technology","Year","Value","Mode","Scenario"
"HEV/B-G",2035,15164,"Private car","Private Car ubiquity"
"CNGV/B",2035,0,"Private car","Private Car ubiquity"
"PHEV",2035,168,"Private car","Private Car ubiquity"
"EV/B",2035,622480,"Private car","Private Car ubiquity"
"ICEV/B-G",2036,77064,"Private car","Private Car ubiquity"
"ICEV/B-D",2036,1777,"Private car","Private Car ubiquity"
"HEV/B-G",2036,11789,"Private car","Private Car ubiquity"
"CNGV/B",2036,0,"Private car","Private Car ubiquity"
"PHEV",2036,129,"Private car","Private Car ubiquity"
"EV/B",2036,651350,"Private car","Private Car ubiquity"
"ICEV/B-G",2037,57440,"Private car","Private Car ubiquity"
"ICEV/B-D",2037,1276,"Private car","Private Car ubiquity"
"HEV/B-G",2037,8916,"Private car","Private Car ubiquity"
"CNGV/B",2037,0,"Private car","Private Car ubiquity"
"PHEV",2037,101,"Private car","Private Car ubiquity"
"EV/B",2037,676033,"Private car","Private Car ubiquity"
"ICEV/B-G",2038,42119,"Private car","Private Car ubiquity"
"ICEV/B-D",2038,860,"Private car","Private Car ubiquity"
"HEV/B-G",2038,6503,"Private car","Private Car ubiquity"
"CNGV/B",2038,0,"Private car","Private Car ubiquity"
"PHEV",2038,74,"Private car","Private Car ubiquity"
"EV/B",2038,695568,"Private car","Private Car ubiquity"
"ICEV/B-G",2039,30618,"Private car","Private Car ubiquity"
"ICEV/B-D",2039,609,"Private car","Private Car ubiquity"
"HEV/B-G",2039,4820,"Private car","Private Car ubiquity"
"CNGV/B",2039,0,"Private car","Private Car ubiquity"
"PHEV",2039,54,"Private car","Private Car ubiquity"
"EV/B",2039,710094,"Private car","Private Car ubiquity"
"ICEV/B-G",2040,23145,"Private car","Private Car ubiquity"
"ICEV/B-D",2040,461,"Private car","Private Car ubiquity"
"HEV/B-G",2040,3642,"Private car","Private Car ubiquity"
"CNGV/B",2040,0,"Private car","Private Car ubiquity"
"PHEV",2040,42,"Private car","Private Car ubiquity"
"EV/B",2040,719697,"Private car","Private Car ubiquity"
"ICEV/B-G",2041,16531,"Private car","Private Car ubiquity"
"ICEV/B-D",2041,329,"Private car","Private Car ubiquity"
"HEV/B-G",2041,2602,"Private car","Private Car ubiquity"
"CNGV/B",2041,0,"Private car","Private Car ubiquity"
"PHEV",2041,32,"Private car","Private Car ubiquity"
"EV/B",2041,728017,"Private car","Private Car ubiquity"
"ICEV/B-G",2042,11395,"Private car","Private Car ubiquity"
"ICEV/B-D",2042,227,"Private car","Private Car ubiquity"
"HEV/B-G",2042,1794,"Private car","Private Car ubiquity"
"CNGV/B",2042,0,"Private car","Private Car ubiquity"
"PHEV",2042,24,"Private car","Private Car ubiquity"
"EV/B",2042,734333,"Private car","Private Car ubiquity"
"ICEV/B-G",2043,7773,"Private car","Private Car ubiquity"
"ICEV/B-D",2043,154,"Private car","Private Car ubiquity"
"HEV/B-G",2043,1223,"Private car","Private Car ubiquity"
"CNGV/B",2043,0,"Private car","Private Car ubiquity"
"PHEV",2043,17,"Private car","Private Car ubiquity"
"EV/B",2043,738625,"Private car","Private Car ubiquity"
"ICEV/B-G",2044,5372,"Private car","Private Car ubiquity"
"ICEV/B-D",2044,106,"Private car","Private Car ubiquity"
"HEV/B-G",2044,846,"Private car","Private Car ubiquity"
"CNGV/B",2044,0,"Private car","Private Car ubiquity"
"PHEV",2044,12,"Private car","Private Car ubiquity"
"EV/B",2044,741253,"Private car","Private Car ubiquity"
"ICEV/B-G",2045,3798,"Private car","Private Car ubiquity"
"ICEV/B-D",2045,76,"Private car","Private Car ubiquity"
"HEV/B-G",2045,596,"Private car","Private Car ubiquity"
"CNGV/B",2045,0,"Private car","Private Car ubiquity"
"PHEV",2045,9,"Private car","Private Car ubiquity"
"EV/B",2045,742704,"Private car","Private Car ubiquity"
"ICEV/B-G",2046,2536,"Private car","Private Car ubiquity"
"ICEV/B-D",2046,51,"Private car","Private Car ubiquity"
"HEV/B-G",2046,398,"Private car","Private Car ubiquity"
"CNGV/B",2046,0,"Private car","Private Car ubiquity"
"PHEV",2046,6,"Private car","Private Car ubiquity"
"EV/B",2046,743595,"Private car","Private Car ubiquity"
"ICEV/B-G",2047,1502,"Private car","Private Car ubiquity"
"ICEV/B-D",2047,30,"Private car","Private Car ubiquity"
"HEV/B-G",2047,236,"Private car","Private Car ubiquity"
"CNGV/B",2047,0,"Private car","Private Car ubiquity"
"PHEV",2047,3,"Private car","Private Car ubiquity"
"EV/B",2047,744038,"Private car","Private Car ubiquity"
"ICEV/B-G",2048,716,"Private car","Private Car ubiquity"
"ICEV/B-D",2048,15,"Private car","Private Car ubiquity"
"HEV/B-G",2048,113,"Private car","Private Car ubiquity"
"CNGV/B",2048,0,"Private car","Private Car ubiquity"
