"Technology","Year","Value","Mode","Scenario"
"CNGV/B",2035,0,"Taxi","Private Car ubiquity"
"PHEV",2035,0,"Taxi","Private Car ubiquity"
"EV/B",2035,14880,"Taxi","Private Car ubiquity"
"ICEV/B-G",2036,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2036,53,"Taxi","Private Car ubiquity"
"HEV/B-G",2036,2180,"Taxi","Private Car ubiquity"
"CNGV/B",2036,0,"Taxi","Private Car ubiquity"
"PHEV",2036,0,"Taxi","Private Car ubiquity"
"EV/B",2036,15588,"Taxi","Private Car ubiquity"
"ICEV/B-G",2037,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2037,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2037,1675,"Taxi","Private Car ubiquity"
"CNGV/B",2037,0,"Taxi","Private Car ubiquity"
"PHEV",2037,0,"Taxi","Private Car ubiquity"
"EV/B",2037,16186,"Taxi","Private Car ubiquity"
"ICEV/B-G",2038,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2038,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2038,1230,"Taxi","Private Car ubiquity"
"CNGV/B",2038,0,"Taxi","Private Car ubiquity"
"PHEV",2038,0,"Taxi","Private Car ubiquity"
"EV/B",2038,16663,"Taxi","Private Car ubiquity"
"ICEV/B-G",2039,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2039,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2039,904,"Taxi","Private Car ubiquity"
"CNGV/B",2039,0,"Taxi","Private Car ubiquity"
"PHEV",2039,0,"Taxi","Private Car ubiquity"
"EV/B",2039,17015,"Taxi","Private Car ubiquity"
"ICEV/B-G",2040,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2040,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2040,625,"Taxi","Private Car ubiquity"
"CNGV/B",2040,0,"Taxi","Private Car ubiquity"
"PHEV",2040,0,"Taxi","Private Car ubiquity"
"EV/B",2040,17313,"Taxi","Private Car ubiquity"
"ICEV/B-G",2041,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2041,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2041,453,"Taxi","Private Car ubiquity"
"CNGV/B",2041,0,"Taxi","Private Car ubiquity"
"PHEV",2041,0,"Taxi","Private Car ubiquity"
"EV/B",2041,17498,"Taxi","Private Car ubiquity"
"ICEV/B-G",2042,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2042,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2042,317,"Taxi","Private Car ubiquity"
"CNGV/B",2042,0,"Taxi","Private Car ubiquity"
"PHEV",2042,0,"Taxi","Private Car ubiquity"
"EV/B",2042,17640,"Taxi","Private Car ubiquity"
"ICEV/B-G",2043,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2043,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2043,223,"Taxi","Private Car ubiquity"
"CNGV/B",2043,0,"Taxi","Private Car ubiquity"
"PHEV",2043,0,"Taxi","Private Car ubiquity"
"EV/B",2043,17734,"Taxi","Private Car ubiquity"
"ICEV/B-G",2044,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2044,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2044,156,"Taxi","Private Car ubiquity"
"CNGV/B",2044,0,"Taxi","Private Car ubiquity"
"PHEV",2044,0,"Taxi","Private Car ubiquity"
"EV/B",2044,17797,"Taxi","Private Car ubiquity"
"ICEV/B-G",2045,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2045,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2045,107,"Taxi","Private Car ubiquity"
"CNGV/B",2045,0,"Taxi","Private Car ubiquity"
"PHEV",2045,0,"Taxi","Private Car ubiquity"
"EV/B",2045,17836,"Taxi","Private Car ubiquity"
"ICEV/B-G",2046,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2046,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2046,68,"Taxi","Private Car ubiquity"
"CNGV/B",2046,0,"Taxi","Private Car ubiquity"
"PHEV",2046,0,"Taxi","Private Car ubiquity"
"EV/B",2046,17861,"Taxi","Private Car ubiquity"
"ICEV/B-G",2047,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2047,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2047,40,"Taxi","Private Car ubiquity"
"CNGV/B",2047,0,"Taxi","Private Car ubiquity"
"PHEV",2047,0,"Taxi","Private Car ubiquity"
"EV/B",2047,17870,"Taxi","Private Car ubiquity"
"ICEV/B-G",2048,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2048,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2048,19,"Taxi","Private Car ubiquity"
"CNGV/B",2048,0,"Taxi","Private Car ubiquity"
"PHEV",2048,0,"Taxi","Private Car ubiquity"
"EV/B",2048,17868,"Taxi","Private Car ubiquity"
"ICEV/B-G",2049,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2049,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2049,7,"Taxi","Private Car ubiquity"
"CNGV/B",2049,0,"Taxi","Private Car ubiquity"
"PHEV",2049,0,"Taxi","Private Car ubiquity"
"EV/B",2049,17854,"Taxi","Private Car ubiquity"
"ICEV/B-G",2050,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2050,0,"Taxi","Private Car ubiquity"
"HEV/B-G",2050,0,"Taxi","Private Car ubiquity"
"CNGV/B",2050,0,"Taxi","Private Car ubiquity"
"PHEV",2050,0,"Taxi","Private Car ubiquity"
"EV/B",2050,17832,"Taxi","Private Car ubiquity"
"ICEV/B-D",2020,5823,"Public bus","Private Car ubiquity"
"HEV/B-D",2020,16,"Public bus","Private Car ubiquity"
"CNGV/B",2020,0,"Public bus","Private Car ubiquity"
"EV/B",2020,3,"Public bus","Private Car ubiquity"
"ICEV/B-D",2021,5764,"Public bus","Private Car ubiquity"
"HEV/B-D",2021,25,"Public bus","Private Car ubiquity"
"CNGV/B",2021,0,"Public bus","Private Car ubiquity"
"EV/B",2021,29,"Public bus","Private Car ubiquity"
"ICEV/B-D",2022,5681,"Public bus","Private Car ubiquity"
"HEV/B-D",2022,33,"Public bus","Private Car ubiquity"
"CNGV/B",2022,0,"Public bus","Private Car ubiquity"
"EV/B",2022,79,"Public bus","Private Car ubiquity"
"ICEV/B-D",2023,5559,"Public bus","Private Car ubiquity"
"HEV/B-D",2023,41,"Public bus","Private Car ubiquity"
"CNGV/B",2023,0,"Public bus","Private Car ubiquity"
"EV/B",2023,167,"Public bus","Private Car ubiquity"
"ICEV/B-D",2024,5407,"Public bus","Private Car ubiquity"
"HEV/B-D",2024,48,"Public bus","Private Car ubiquity"
"CNGV/B",2024,0,"Public bus","Private Car ubiquity"
"EV/B",2024,285,"Public bus","Private Car ubiquity"
"ICEV/B-D",2025,5197,"Public bus","Private Car ubiquity"
"HEV/B-D",2025,55,"Public bus","Private Car ubiquity"
"CNGV/B",2025,0,"Public bus","Private Car ubiquity"
"EV/B",2025,457,"Public bus","Private Car ubiquity"
"ICEV/B-D",2026,4938,"Public bus","Private Car ubiquity"
"HEV/B-D",2026,61,"Public bus","Private Car ubiquity"
"CNGV/B",2026,0,"Public bus","Private Car ubiquity"
"EV/B",2026,676,"Public bus","Private Car ubiquity"
"ICEV/B-D",2027,4644,"Public bus","Private Car ubiquity"
"HEV/B-D",2027,65,"Public bus","Private Car ubiquity"
"CNGV/B",2027,0,"Public bus","Private Car ubiquity"
"EV/B",2027,929,"Public bus","Private Car ubiquity"
"ICEV/B-D",2028,4297,"Public bus","Private Car ubiquity"
"HEV/B-D",2028,67,"Public bus","Private Car ubiquity"
"CNGV/B",2028,0,"Public bus","Private Car ubiquity"
"EV/B",2028,1234,"Public bus","Private Car ubiquity"
"ICEV/B-D",2029,3920,"Public bus","Private Car ubiquity"
"HEV/B-D",2029,67,"Public bus","Private Car ubiquity"
"CNGV/B",2029,0,"Public bus","Private Car ubiquity"
"EV/B",2029,1569,"Public bus","Private Car ubiquity"
"ICEV/B-D",2030,3472,"Public bus","Private Car ubiquity"
"HEV/B-D",2030,67,"Public bus","Private Car ubiquity"
"CNGV/B",2030,0,"Public bus","Private Car ubiquity"
"EV/B",2030,1972,"Public bus","Private Car ubiquity"
"ICEV/B-D",2031,3009,"Public bus","Private Car ubiquity"
"HEV/B-D",2031,66,"Public bus","Private Car ubiquity"
"CNGV/B",2031,0,"Public bus","Private Car ubiquity"
"EV/B",2031,2462,"Public bus","Private Car ubiquity"
"ICEV/B-D",2032,2541,"Public bus","Private Car ubiquity"
"HEV/B-D",2032,63,"Public bus","Private Car ubiquity"
"CNGV/B",2032,0,"Public bus","Private Car ubiquity"
"EV/B",2032,2957,"Public bus","Private Car ubiquity"
"ICEV/B-D",2033,2097,"Public bus","Private Car ubiquity"
"HEV/B-D",2033,60,"Public bus","Private Car ubiquity"
"CNGV/B",2033,0,"Public bus","Private Car ubiquity"
"EV/B",2033,3426,"Public bus","Private Car ubiquity"
"ICEV/B-D",2034,1707,"Public bus","Private Car ubiquity"
"HEV/B-D",2034,56,"Public bus","Private Car ubiquity"
"CNGV/B",2034,0,"Public bus","Private Car ubiquity"
"EV/B",2034,3840,"Public bus","Private Car ubiquity"
"ICEV/B-D",2035,1386,"Public bus","Private Car ubiquity"
"HEV/B-D",2035,51,"Public bus","Private Car ubiquity"
"CNGV/B",2035,0,"Public bus","Private Car ubiquity"
"EV/B",2035,4183,"Public bus","Private Car ubiquity"
"ICEV/B-D",2036,1130,"Public bus","Private Car ubiquity"
"HEV/B-D",2036,45,"Public bus","Private Car ubiquity"
"CNGV/B",2036,0,"Public bus","Private Car ubiquity"
"EV/B",2036,4460,"Public bus","Private Car ubiquity"
"ICEV/B-D",2037,953,"Public bus","Private Car ubiquity"
"HEV/B-D",2037,40,"Public bus","Private Car ubiquity"
"CNGV/B",2037,0,"Public bus","Private Car ubiquity"
"EV/B",2037,4655,"Public bus","Private Car ubiquity"
"ICEV/B-D",2038,794,"Public bus","Private Car ubiquity"
"HEV/B-D",2038,34,"Public bus","Private Car ubiquity"
"CNGV/B",2038,0,"Public bus","Private Car ubiquity"
"EV/B",2038,4830,"Public bus","Private Car ubiquity"
"ICEV/B-D",2039,665,"Public bus","Private Car ubiquity"
"HEV/B-D",2039,29,"Public bus","Private Car ubiquity"
"CNGV/B",2039,0,"Public bus","Private Car ubiquity"
"EV/B",2039,4972,"Public bus","Private Car ubiquity"
"ICEV/B-D",2040,535,"Public bus","Private Car ubiquity"
"HEV/B-D",2040,23,"Public bus","Private Car ubiquity"
"CNGV/B",2040,0,"Public bus","Private Car ubiquity"
"EV/B",2040,5114,"Public bus","Private Car ubiquity"
"ICEV/B-D",2041,415,"Public bus","Private Car ubiquity"
"HEV/B-D",2041,19,"Public bus","Private Car ubiquity"
"CNGV/B",2041,0,"Public bus","Private Car ubiquity"
"EV/B",2041,5242,"Public bus","Private Car ubiquity"
"ICEV/B-D",2042,302,"Public bus","Private Car ubiquity"
"HEV/B-D",2042,15,"Public bus","Private Car ubiquity"
"CNGV/B",2042,0,"Public bus","Private Car ubiquity"
"EV/B",2042,5361,"Public bus","Private Car ubiquity"
"ICEV/B-D",2043,208,"Public bus","Private Car ubiquity"
"HEV/B-D",2043,11,"Public bus","Private Car ubiquity"
"CNGV/B",2043,0,"Public bus","Private Car ubiquity"
"EV/B",2043,5459,"Public bus","Private Car ubiquity"
"ICEV/B-D",2044,133,"Public bus","Private Car ubiquity"
"HEV/B-D",2044,8,"Public bus","Private Car ubiquity"
"CNGV/B",2044,0,"Public bus","Private Car ubiquity"
"EV/B",2044,5536,"Public bus","Private Car ubiquity"
"ICEV/B-D",2045,74,"Public bus","Private Car ubiquity"
"HEV/B-D",2045,5,"Public bus","Private Car ubiquity"
"CNGV/B",2045,0,"Public bus","Private Car ubiquity"
"EV/B",2045,5595,"Public bus","Private Car ubiquity"
"ICEV/B-D",2046,37,"Public bus","Private Car ubiquity"
"HEV/B-D",2046,2,"Public bus","Private Car ubiquity"
"CNGV/B",2046,0,"Public bus","Private Car ubiquity"
"EV/B",2046,5630,"Public bus","Private Car ubiquity"
"ICEV/B-D",2047,15,"Public bus","Private Car ubiquity"
"HEV/B-D",2047,1,"Public bus","Private Car ubiquity"
"CNGV/B",2047,0,"Public bus","Private Car ubiquity"
"EV/B",2047,5647,"Public bus","Private Car ubiquity"
"ICEV/B-D",2048,5,"Public bus","Private Car ubiquity"
"HEV/B-D",2048,0,"Public bus","Private Car ubiquity"
"CNGV/B",2048,0,"Public bus","Private Car ubiquity"
"EV/B",2048,5651,"Public bus","Private Car ubiquity"
"ICEV/B-D",2049,1,"Public bus","Private Car ubiquity"
"HEV/B-D",2049,0,"Public bus","Private Car ubiquity"
"CNGV/B",2049,0,"Public bus","Private Car ubiquity"
"EV/B",2049,5647,"Public bus","Private Car ubiquity"
"ICEV/B-D",2050,0,"Public bus","Private Car ubiquity"
"HEV/B-D",2050,0,"Public bus","Private Car ubiquity"
"CNGV/B",2050,0,"Public bus","Private Car ubiquity"
"EV/B",2050,5639,"Public bus","Private Car ubiquity"
"ICEV/B-G",2020,487546,"Private car","Public Transit"
"ICEV/B-D",2020,15699,"Private car","Public Transit"
"HEV/B-G",2020,36068,"Private car","Public Transit"
"CNGV/B",2020,196,"Private car","Public Transit"
"PHEV",2020,462,"Private car","Public Transit"
"EV/B",2020,1336,"Private car","Public Transit"
"ICEV/B-G",2021,466762,"Private car","Public Transit"
"ICEV/B-D",2021,15279,"Private car","Public Transit"
"HEV/B-G",2021,39873,"Private car","Public Transit"
"CNGV/B",2021,153,"Private car","Public Transit"
"PHEV",2021,504,"Private car","Public Transit"
"EV/B",2021,6356,"Private car","Public Transit"
"ICEV/B-G",2022,443076,"Private car","Public Transit"
"ICEV/B-D",2022,14674,"Private car","Public Transit"
"HEV/B-G",2022,42135,"Private car","Public Transit"
"CNGV/B",2022,112,"Private car","Public Transit"
"PHEV",2022,533,"Private car","Public Transit"
"EV/B",2022,15802,"Private car","Public Transit"
"ICEV/B-G",2023,417524,"Private car","Public Transit"
"ICEV/B-D",2023,13936,"Private car","Public Transit"
"HEV/B-G",2023,43211,"Private car","Public Transit"
"CNGV/B",2023,57,"Private car","Public Transit"
"PHEV",2023,540,"Private car","Public Transit"
"EV/B",2023,28195,"Private car","Public Transit"
"ICEV/B-G",2024,390722,"Private car","Public Transit"
"ICEV/B-D",2024,12915,"Private car","Public Transit"
"HEV/B-G",2024,43269,"Private car","Public Transit"
"CNGV/B",2024,43,"Private car","Public Transit"
"PHEV",2024,522,"Private car","Public Transit"
"EV/B",2024,42749,"Private car","Public Transit"
"ICEV/B-G",2025,361940,"Private car","Public Transit"
"ICEV/B-D",2025,11635,"Private car","Public Transit"
"HEV/B-G",2025,42788,"Private car","Public Transit"
"CNGV/B",2025,38,"Private car","Public Transit"
"PHEV",2025,499,"Private car","Public Transit"
"EV/B",2025,59637,"Private car","Public Transit"
"ICEV/B-G",2026,329358,"Private car","Public Transit"
"ICEV/B-D",2026,9923,"Private car","Public Transit"
"HEV/B-G",2026,41149,"Private car","Public Transit"
"CNGV/B",2026,35,"Private car","Public Transit"
"PHEV",2026,490,"Private car","Public Transit"
"EV/B",2026,81487,"Private car","Public Transit"
"ICEV/B-G",2027,293344,"Private car","Public Transit"
"ICEV/B-D",2027,8032,"Private car","Public Transit"
"HEV/B-G",2027,37207,"Private car","Public Transit"
"CNGV/B",2027,32,"Private car","Public Transit"
"PHEV",2027,453,"Private car","Public Transit"
"EV/B",2027,108912,"Private car","Public Transit"
"ICEV/B-G",2028,253771,"Private car","Public Transit"
"ICEV/B-D",2028,6853,"Private car","Public Transit"
"HEV/B-G",2028,33919,"Private car","Public Transit"
"CNGV/B",2028,28,"Private car","Public Transit"
"PHEV",2028,384,"Private car","Public Transit"
"EV/B",2028,138199,"Private car","Public Transit"
"ICEV/B-G",2029,215738,"Private car","Public Transit"
"ICEV/B-D",2029,5803,"Private car","Public Transit"
"HEV/B-G",2029,29659,"Private car","Public Transit"
"CNGV/B",2029,4,"Private car","Public Transit"
"PHEV",2029,335,"Private car","Public Transit"
"EV/B",2029,166432,"Private car","Public Transit"
"ICEV/B-G",2030,178655,"Private car","Public Transit"
"ICEV/B-D",2030,4717,"Private car","Public Transit"
"HEV/B-G",2030,25390,"Private car","Public Transit"
"CNGV/B",2030,0,"Private car","Public Transit"
"PHEV",2030,287,"Private car","Public Transit"
"EV/B",2030,193391,"Private car","Public Transit"
"ICEV/B-G",2031,145721,"Private car","Public Transit"
"ICEV/B-D",2031,3705,"Private car","Public Transit"
"HEV/B-G",2031,21146,"Private car","Public Transit"
"CNGV/B",2031,0,"Private car","Public Transit"
"PHEV",2031,241,"Private car","Public Transit"
"EV/B",2031,233549,"Private car","Public Transit"
"ICEV/B-G",2032,117128,"Private car","Public Transit"
"ICEV/B-D",2032,2869,"Private car","Public Transit"
"HEV/B-G",2032,17056,"Private car","Public Transit"
"CNGV/B",2032,0,"Private car","Public Transit"
"PHEV",2032,196,"Private car","Public Transit"
"EV/B",2032,268874,"Private car","Public Transit"
"ICEV/B-G",2033,93304,"Private car","Public Transit"
"ICEV/B-D",2033,2313,"Private car","Public Transit"
"HEV/B-G",2033,13753,"Private car","Public Transit"
"CNGV/B",2033,0,"Private car","Public Transit"
"PHEV",2033,156,"Private car","Public Transit"
"EV/B",2033,298194,"Private car","Public Transit"
"ICEV/B-G",2034,74669,"Private car","Public Transit"
"ICEV/B-D",2034,1888,"Private car","Public Transit"
"HEV/B-G",2034,10995,"Private car","Public Transit"
"CNGV/B",2034,0,"Private car","Public Transit"
"PHEV",2034,127,"Private car","Public Transit"
"EV/B",2034,321471,"Private car","Public Transit"
"ICEV/B-G",2035,59404,"Private car","Public Transit"
"ICEV/B-D",2035,1507,"Private car","Public Transit"
"HEV/B-G",2035,8768,"Private car","Public Transit"
"CNGV/B",2035,0,"Private car","Public Transit"
"PHEV",2035,100,"Private car","Public Transit"
"EV/B",2035,340629,"Private car","Public Transit"
"ICEV/B-G",2036,45640,"Private car","Public Transit"
"ICEV/B-D",2036,1144,"Private car","Public Transit"
"HEV/B-G",2036,6840,"Private car","Public Transit"
"CNGV/B",2036,0,"Private car","Public Transit"
"PHEV",2036,79,"Private car","Public Transit"
"EV/B",2036,357794,"Private car","Public Transit"
"ICEV/B-G",2037,33655,"Private car","Public Transit"
"ICEV/B-D",2037,798,"Private car","Public Transit"
"HEV/B-G",2037,5172,"Private car","Public Transit"
"CNGV/B",2037,0,"Private car","Public Transit"
"PHEV",2037,62,"Private car","Public Transit"
"EV/B",2037,372729,"Private car","Public Transit"
"ICEV/B-G",2038,24355,"Private car","Public Transit"
"ICEV/B-D",2038,503,"Private car","Public Transit"
"HEV/B-G",2038,3707,"Private car","Public Transit"
"CNGV/B",2038,0,"Private car","Public Transit"
"PHEV",2038,47,"Private car","Public Transit"
"EV/B",2038,384557,"Private car","Public Transit"
"ICEV/B-G",2039,17274,"Private car","Public Transit"
"ICEV/B-D",2039,342,"Private car","Public Transit"
"HEV/B-G",2039,2719,"Private car","Public Transit"
"CNGV/B",2039,0,"Private car","Public Transit"
"PHEV",2039,36,"Private car","Public Transit"
"EV/B",2039,393391,"Private car","Public Transit"
"ICEV/B-G",2040,12582,"Private car","Public Transit"
"ICEV/B-D",2040,250,"Private car","Public Transit"
"HEV/B-G",2040,1980,"Private car","Public Transit"
"CNGV/B",2040,0,"Private car","Public Transit"
"PHEV",2040,28,"Private car","Public Transit"
"EV/B",2040,399362,"Private car","Public Transit"
"ICEV/B-G",2041,8930,"Private car","Public Transit"
"ICEV/B-D",2041,178,"Private car","Public Transit"
"HEV/B-G",2041,1406,"Private car","Public Transit"
"CNGV/B",2041,0,"Private car","Public Transit"
"PHEV",2041,20,"Private car","Public Transit"
"EV/B",2041,403958,"Private car","Public Transit"
"ICEV/B-G",2042,6061,"Private car","Public Transit"
"ICEV/B-D",2042,120,"Private car","Public Transit"
"HEV/B-G",2042,955,"Private car","Public Transit"
"CNGV/B",2042,0,"Private car","Public Transit"
"PHEV",2042,14,"Private car","Public Transit"
"EV/B",2042,407488,"Private car","Public Transit"
"ICEV/B-G",2043,4045,"Private car","Public Transit"
"ICEV/B-D",2043,81,"Private car","Public Transit"
"HEV/B-G",2043,637,"Private car","Public Transit"
"CNGV/B",2043,0,"Private car","Public Transit"
"PHEV",2043,9,"Private car","Public Transit"
"EV/B",2043,409876,"Private car","Public Transit"
"ICEV/B-G",2044,2745,"Private car","Public Transit"
"ICEV/B-D",2044,55,"Private car","Public Transit"
"HEV/B-G",2044,433,"Private car","Public Transit"
"CNGV/B",2044,0,"Private car","Public Transit"
"PHEV",2044,5,"Private car","Public Transit"
"EV/B",2044,411297,"Private car","Public Transit"
"ICEV/B-G",2045,1916,"Private car","Public Transit"
"ICEV/B-D",2045,39,"Private car","Public Transit"
"HEV/B-G",2045,302,"Private car","Public Transit"
"CNGV/B",2045,0,"Private car","Public Transit"
"PHEV",2045,3,"Private car","Public Transit"
"EV/B",2045,412050,"Private car","Public Transit"
"ICEV/B-G",2046,1284,"Private car","Public Transit"
"ICEV/B-D",2046,27,"Private car","Public Transit"
"HEV/B-G",2046,202,"Private car","Public Transit"
"CNGV/B",2046,0,"Private car","Public Transit"
"PHEV",2046,2,"Private car","Public Transit"
"EV/B",2046,412464,"Private car","Public Transit"
"ICEV/B-G",2047,759,"Private car","Public Transit"
"ICEV/B-D",2047,16,"Private car","Public Transit"
"HEV/B-G",2047,121,"Private car","Public Transit"
"CNGV/B",2047,0,"Private car","Public Transit"
"PHEV",2047,1,"Private car","Public Transit"
"EV/B",2047,412651,"Private car","Public Transit"
"ICEV/B-G",2048,352,"Private car","Public Transit"
"ICEV/B-D",2048,8,"Private car","Public Transit"
"HEV/B-G",2048,57,"Private car","Public Transit"
"CNGV/B",2048,0,"Private car","Public Transit"
"PHEV",2048,0,"Private car","Public Transit"
"EV/B",2048,412613,"Private car","Public Transit"
"ICEV/B-G",2049,105,"Private car","Public Transit"
"ICEV/B-D",2049,4,"Private car","Public Transit"
"HEV/B-G",2049,18,"Private car","Public Transit"
"CNGV/B",2049,0,"Private car","Public Transit"
"PHEV",2049,0,"Private car","Public Transit"
"EV/B",2049,412304,"Private car","Public Transit"
"ICEV/B-G",2050,0,"Private car","Public Transit"
"ICEV/B-D",2050,0,"Private car","Public Transit"
"HEV/B-G",2050,0,"Private car","Public Transit"
"CNGV/B",2050,0,"Private car","Public Transit"
"PHEV",2050,0,"Private car","Public Transit"
"EV/B",2050,411762,"Private car","Public Transit"
"ICEV/B-G",2020,68415,"Private car","Public Transit"
"ICEV/B-D",2020,2205,"Private car","Public Transit"
"HEV/B-G",2020,4590,"Private car","Public Transit"
"CNGV/B",2020,29,"Private car","Public Transit"
"PHEV",2020,59,"Private car","Public Transit"
"EV/B",2020,149,"Private car","Public Transit"
"ICEV/B-G",2021,66014,"Private car","Public Transit"
"ICEV/B-D",2021,2184,"Private car","Public Transit"
"HEV/B-G",2021,4849,"Private car","Public Transit"
"CNGV/B",2021,26,"Private car","Public Transit"
"PHEV",2021,60,"Private car","Public Transit"
"EV/B",2021,589,"Private car","Public Transit"
"ICEV/B-G",2022,63357,"Private car","Public Transit"
"ICEV/B-D",2022,2119,"Private car","Public Transit"
"HEV/B-G",2022,4964,"Private car","Public Transit"
"CNGV/B",2022,24,"Private car","Public Transit"
"PHEV",2022,59,"Private car","Public Transit"
"EV/B",2022,1445,"Private car","Public Transit"
"ICEV/B-G",2023,60689,"Private car","Public Transit"
"ICEV/B-D",2023,2028,"Private car","Public Transit"
"HEV/B-G",2023,4875,"Private car","Public Transit"
"CNGV/B",2023,21,"Private car","Public Transit"
"PHEV",2023,55,"Private car","Public Transit"
"EV/B",2023,2505,"Private car","Public Transit"
"ICEV/B-G",2024,57730,"Private car","Public Transit"
"ICEV/B-D",2024,1938,"Private car","Public Transit"
"HEV/B-G",2024,4731,"Private car","Public Transit"
"CNGV/B",2024,18,"Private car","Public Transit"
"PHEV",2024,51,"Private car","Public Transit"
"EV/B",2024,3859,"Private car","Public Transit"
"ICEV/B-G",2025,52962,"Private car","Public Transit"
"ICEV/B-D",2025,1857,"Private car","Public Transit"
"HEV/B-G",2025,4747,"Private car","Public Transit"
"CNGV/B",2025,14,"Private car","Public Transit"
"PHEV",2025,50,"Private car","Public Transit"
"EV/B",2025,6791,"Private car","Public Transit"
"ICEV/B-G",2026,45705,"Private car","Public Transit"
"ICEV/B-D",2026,1697,"Private car","Public Transit"
"HEV/B-G",2026,4826,"Private car","Public Transit"
"CNGV/B",2026,9,"Private car","Public Transit"
"PHEV",2026,51,"Private car","Public Transit"
"EV/B",2026,12168,"Private car","Public Transit"
"ICEV/B-G",2027,39549,"Private car","Public Transit"
"ICEV/B-D",2027,1440,"Private car","Public Transit"
"HEV/B-G",2027,4577,"Private car","Public Transit"
"CNGV/B",2027,9,"Private car","Public Transit"
"PHEV",2027,49,"Private car","Public Transit"
"EV/B",2027,16815,"Private car","Public Transit"
"ICEV/B-G",2028,36322,"Private car","Public Transit"
"ICEV/B-D",2028,1218,"Private car","Public Transit"
"HEV/B-G",2028,3795,"Private car","Public Transit"
"CNGV/B",2028,8,"Private car","Public Transit"
"PHEV",2028,31,"Private car","Public Transit"
"EV/B",2028,19000,"Private car","Public Transit"
"ICEV/B-G",2029,29580,"Private car","Public Transit"
"ICEV/B-D",2029,1023,"Private car","Public Transit"
"HEV/B-G",2029,3195,"Private car","Public Transit"
"CNGV/B",2029,4,"Private car","Public Transit"
"PHEV",2029,27,"Private car","Public Transit"
"EV/B",2029,24429,"Private car","Public Transit"
"ICEV/B-G",2030,24767,"Private car","Public Transit"
"ICEV/B-D",2030,879,"Private car","Public Transit"
"HEV/B-G",2030,2853,"Private car","Public Transit"
"CNGV/B",2030,2,"Private car","Public Transit"
"PHEV",2030,25,"Private car","Public Transit"
"EV/B",2030,27566,"Private car","Public Transit"
"ICEV/B-G",2031,19877,"Private car","Public Transit"
"ICEV/B-D",2031,710,"Private car","Public Transit"
"HEV/B-G",2031,2406,"Private car","Public Transit"
"CNGV/B",2031,1,"Private car","Public Transit"
"PHEV",2031,21,"Private car","Public Transit"
"EV/B",2031,33345,"Private car","Public Transit"
"ICEV/B-G",2032,15996,"Private car","Public Transit"
"ICEV/B-D",2032,558,"Private car","Public Transit"
"HEV/B-G",2032,1958,"Private car","Public Transit"
"CNGV/B",2032,1,"Private car","Public Transit"
"PHEV",2032,18,"Private car","Public Transit"
"EV/B",2032,38075,"Private car","Public Transit"
"ICEV/B-G",2033,13542,"Private car","Public Transit"
"ICEV/B-D",2033,451,"Private car","Public Transit"
"HEV/B-G",2033,1568,"Private car","Public Transit"
"CNGV/B",2033,1,"Private car","Public Transit"
"PHEV",2033,13,"Private car","Public Transit"
"EV/B",2033,41253,"Private car","Public Transit"
"ICEV/B-G",2034,11141,"Private car","Public Transit"
"ICEV/B-D",2034,373,"Private car","Public Transit"
"HEV/B-G",2034,1278,"Private car","Public Transit"
"CNGV/B",2034,1,"Private car","Public Transit"
"PHEV",2034,11,"Private car","Public Transit"
"EV/B",2034,44224,"Private car","Public Transit"
"ICEV/B-G",2035,9070,"Private car","Public Transit"
"ICEV/B-D",2035,306,"Private car","Public Transit"
"HEV/B-G",2035,1038,"Private car","Public Transit"
"CNGV/B",2035,1,"Private car","Public Transit"
"PHEV",2035,9,"Private car","Public Transit"
"EV/B",2035,46779,"Private car","Public Transit"
"ICEV/B-G",2036,6685,"Private car","Public Transit"
"ICEV/B-D",2036,236,"Private car","Public Transit"
"HEV/B-G",2036,790,"Private car","Public Transit"
"CNGV/B",2036,1,"Private car","Public Transit"
