"Scenario","Electrification target year","PT modal share change","Motorized pkt change","Value","Unit"
"Transition to renewable",2040,"1.5%","0%","7.59e+01","Mt CO2 eq."
"Constant",2042,"1.5%","0%","1.06e+02","Mt CO2 eq."
"Transition to renewable",2042,"1.5%","0%","7.86e+01","Mt CO2 eq."
"Constant",2044,"1.5%","0%","1.07e+02","Mt CO2 eq."
"Transition to renewable",2044,"1.5%","0%","8.14e+01","Mt CO2 eq."
"Constant",2046,"1.5%","0%","1.08e+02","Mt CO2 eq."
"Transition to renewable",2046,"1.5%","0%","8.41e+01","Mt CO2 eq."
"Constant",2048,"1.5%","0%","1.10e+02","Mt CO2 eq."
"Transition to renewable",2048,"1.5%","0%","8.66e+01","Mt CO2 eq."
"Constant",2050,"1.5%","0%","1.11e+02","Mt CO2 eq."
"Transition to renewable",2050,"1.5%","0%","8.91e+01","Mt CO2 eq."
"Constant",2030,"2%","0%","8.83e+01","Mt CO2 eq."
"Transition to renewable",2030,"2%","0%","6.05e+01","Mt CO2 eq."
"Constant",2032,"2%","0%","8.89e+01","Mt CO2 eq."
"Transition to renewable",2032,"2%","0%","6.15e+01","Mt CO2 eq."
"Constant",2034,"2%","0%","9.01e+01","Mt CO2 eq."
"Transition to renewable",2034,"2%","0%","6.34e+01","Mt CO2 eq."
"Constant",2036,"2%","0%","9.13e+01","Mt CO2 eq."
"Transition to renewable",2036,"2%","0%","6.54e+01","Mt CO2 eq."
"Constant",2038,"2%","0%","9.26e+01","Mt CO2 eq."
"Transition to renewable",2038,"2%","0%","6.77e+01","Mt CO2 eq."
"Constant",2040,"2%","0%","9.39e+01","Mt CO2 eq."
"Transition to renewable",2040,"2%","0%","7.01e+01","Mt CO2 eq."
"Constant",2042,"2%","0%","9.52e+01","Mt CO2 eq."
"Transition to renewable",2042,"2%","0%","7.26e+01","Mt CO2 eq."
"Constant",2044,"2%","0%","9.64e+01","Mt CO2 eq."
"Transition to renewable",2044,"2%","0%","7.50e+01","Mt CO2 eq."
"Constant",2046,"2%","0%","9.75e+01","Mt CO2 eq."
"Transition to renewable",2046,"2%","0%","7.72e+01","Mt CO2 eq."
"Constant",2048,"2%","0%","9.85e+01","Mt CO2 eq."
"Transition to renewable",2048,"2%","0%","7.93e+01","Mt CO2 eq."
"Constant",2050,"2%","0%","9.94e+01","Mt CO2 eq."
"Transition to renewable",2050,"2%","0%","8.12e+01","Mt CO2 eq."
"Constant",2030,"0%","-1%","1.13e+02","Mt CO2 eq."
"Transition to renewable",2030,"0%","-1%","7.44e+01","Mt CO2 eq."
"Constant",2032,"0%","-1%","1.14e+02","Mt CO2 eq."
"Transition to renewable",2032,"0%","-1%","7.56e+01","Mt CO2 eq."
"Constant",2034,"0%","-1%","1.15e+02","Mt CO2 eq."
"Transition to renewable",2034,"0%","-1%","7.79e+01","Mt CO2 eq."
"Constant",2036,"0%","-1%","1.17e+02","Mt CO2 eq."
"Transition to renewable",2036,"0%","-1%","8.04e+01","Mt CO2 eq."
"Constant",2038,"0%","-1%","1.18e+02","Mt CO2 eq."
"Transition to renewable",2038,"0%","-1%","8.32e+01","Mt CO2 eq."
"Constant",2040,"0%","-1%","1.20e+02","Mt CO2 eq."
"Transition to renewable",2040,"0%","-1%","8.62e+01","Mt CO2 eq."
"Constant",2042,"0%","-1%","1.22e+02","Mt CO2 eq."
"Transition to renewable",2042,"0%","-1%","8.93e+01","Mt CO2 eq."
"Constant",2044,"0%","-1%","1.23e+02","Mt CO2 eq."
"Transition to renewable",2044,"0%","-1%","9.26e+01","Mt CO2 eq."
"Constant",2046,"0%","-1%","1.25e+02","Mt CO2 eq."
"Transition to renewable",2046,"0%","-1%","9.58e+01","Mt CO2 eq."
"Constant",2048,"0%","-1%","1.27e+02","Mt CO2 eq."
"Transition to renewable",2048,"0%","-1%","9.89e+01","Mt CO2 eq."
"Constant",2050,"0%","-1%","1.28e+02","Mt CO2 eq."
"Transition to renewable",2050,"0%","-1%","1.02e+02","Mt CO2 eq."
"Constant",2030,"0.5%","-1%","1.04e+02","Mt CO2 eq."
