"Target","Scenario","Convergence_year","Model","Method","Value","Unit"
"2C","SSP1","2050","MESSAGE-GLOBIOM","Contraction & Convergence",884.090848480362,"MT CO2"
"1.5C","SSP1","2050","MESSAGE-GLOBIOM","Contraction & Convergence",613.965229627077,"MT CO2"
"2C","SSP2","2050","MESSAGE-GLOBIOM","Contraction & Convergence",794.279099872299,"MT CO2"
"1.5C","SSP2","2050","MESSAGE-GLOBIOM","Contraction & Convergence",553.751843828451,"MT CO2"
"2C","SSP1","2040","REMIND-MAGPIE","Contraction & Convergence",748.18902726039,"MT CO2"
"1.5C","SSP1","2040","REMIND-MAGPIE","Contraction & Convergence",580.490931812563,"MT CO2"
"2C","SSP2","2040","REMIND-MAGPIE","Contraction & Convergence",790.030390196575,"MT CO2"
"1.5C","SSP2","2040","REMIND-MAGPIE","Contraction & Convergence",582.5312575894,"MT CO2"
"2C","SSP5","2040","REMIND-MAGPIE","Contraction & Convergence",943.788546990416,"MT CO2"
"1.5C","SSP5","2040","REMIND-MAGPIE","Contraction & Convergence",726.509333665983,"MT CO2"
"2C","SSP1","2050","REMIND-MAGPIE","Contraction & Convergence",848.919973688328,"MT CO2"
"1.5C","SSP1","2050","REMIND-MAGPIE","Contraction & Convergence",645.75171524368,"MT CO2"
"2C","SSP2","2050","REMIND-MAGPIE","Contraction & Convergence",889.935238522224,"MT CO2"
"1.5C","SSP2","2050","REMIND-MAGPIE","Contraction & Convergence",640.07836229758,"MT CO2"
"2C","SSP5","2050","REMIND-MAGPIE","Contraction & Convergence",1074.78523828431,"MT CO2"
"1.5C","SSP5","2050","REMIND-MAGPIE","Contraction & Convergence",813.104190099472,"MT CO2"
"2C","SSP1","2040","WITCH-GLOBIOM","Contraction & Convergence",685.056599336839,"MT CO2"
"1.5C","SSP1","2040","WITCH-GLOBIOM","Contraction & Convergence",516.592948771178,"MT CO2"
"2C","SSP2","2040","WITCH-GLOBIOM","Contraction & Convergence",594.63530665623,"MT CO2"
"2C","SSP4","2040","WITCH-GLOBIOM","Contraction & Convergence",734.861746348006,"MT CO2"
"1.5C","SSP4","2040","WITCH-GLOBIOM","Contraction & Convergence",551.881759804514,"MT CO2"
"2C","SSP1","2050","WITCH-GLOBIOM","Contraction & Convergence",758.323780378344,"MT CO2"
"1.5C","SSP1","2050","WITCH-GLOBIOM","Contraction & Convergence",563.767040560094,"MT CO2"
"2C","SSP2","2050","WITCH-GLOBIOM","Contraction & Convergence",660.617713883201,"MT CO2"
"2C","SSP4","2050","WITCH-GLOBIOM","Contraction & Convergence",814.747604673277,"MT CO2"
"1.5C","SSP4","2050","WITCH-GLOBIOM","Contraction & Convergence",604.395348483028,"MT CO2"
"2C","SSP1","grandfathering","AIM/CGE","Grandfathering",993.503719796114,"MT CO2"
"1.5C","SSP1","grandfathering","AIM/CGE","Grandfathering",665.561621320884,"MT CO2"
"2C","SSP2","grandfathering","AIM/CGE","Grandfathering",981.077072487324,"MT CO2"
"1.5C","SSP2","grandfathering","AIM/CGE","Grandfathering",697.754569468484,"MT CO2"
"2C","SSP4","grandfathering","AIM/CGE","Grandfathering",1132.00526336503,"MT CO2"
"2C","SSP5","grandfathering","AIM/CGE","Grandfathering",1029.52268381178,"MT CO2"
"2C","SSP1","grandfathering","GCAM4","Grandfathering",1372.96738883779,"MT CO2"
"1.5C","SSP1","grandfathering","GCAM4","Grandfathering",1046.67253919648,"MT CO2"
"2C","SSP2","grandfathering","GCAM4","Grandfathering",1404.3181778311,"MT CO2"
"1.5C","SSP2","grandfathering","GCAM4","Grandfathering",1034.87885916984,"MT CO2"
"2C","SSP4","grandfathering","GCAM4","Grandfathering",1022.96383236202,"MT CO2"
"2C","SSP5","grandfathering","GCAM4","Grandfathering",1461.81371847546,"MT CO2"
"1.5C","SSP5","grandfathering","GCAM4","Grandfathering",1001.57308428781,"MT CO2"
"2C","SSP1","grandfathering","IMAGE","Grandfathering",1221.83234348908,"MT CO2"
"1.5C","SSP1","grandfathering","IMAGE","Grandfathering",636.726034665848,"MT CO2"
"2C","SSP2","grandfathering","IMAGE","Grandfathering",939.817514602899,"MT CO2"
"2C","SSP4","grandfathering","IMAGE","Grandfathering",858.057293805865,"MT CO2"
"2C","SSP1","grandfathering","MESSAGE-GLOBIOM","Grandfathering",1190.33055270022,"MT CO2"
"1.5C","SSP1","grandfathering","MESSAGE-GLOBIOM","Grandfathering",775.877844625983,"MT CO2"
"2C","SSP2","grandfathering","MESSAGE-GLOBIOM","Grandfathering",1060.63982029382,"MT CO2"
"1.5C","SSP2","grandfathering","MESSAGE-GLOBIOM","Grandfathering",684.102929371854,"MT CO2"
"2C","SSP1","grandfathering","REMIND-MAGPIE","Grandfathering",1137.59092331402,"MT CO2"
"1.5C","SSP1","grandfathering","REMIND-MAGPIE","Grandfathering",803.634978984023,"MT CO2"
"2C","SSP2","grandfathering","REMIND-MAGPIE","Grandfathering",1178.69185323424,"MT CO2"
"1.5C","SSP2","grandfathering","REMIND-MAGPIE","Grandfathering",764.917733326084,"MT CO2"
"2C","SSP5","grandfathering","REMIND-MAGPIE","Grandfathering",1404.52386633069,"MT CO2"
"1.5C","SSP5","grandfathering","REMIND-MAGPIE","Grandfathering",996.437714221985,"MT CO2"
"2C","SSP1","grandfathering","WITCH-GLOBIOM","Grandfathering",968.274963051824,"MT CO2"
"1.5C","SSP1","grandfathering","WITCH-GLOBIOM","Grandfathering",687.44794821978,"MT CO2"
"2C","SSP2","grandfathering","WITCH-GLOBIOM","Grandfathering",865.631187081235,"MT CO2"
"2C","SSP4","grandfathering","WITCH-GLOBIOM","Grandfathering",1056.15143914024,"MT CO2"
"1.5C","SSP4","grandfathering","WITCH-GLOBIOM","Grandfathering",752.920423841034,"MT CO2"
