"Technology","Year","Value","Mode","Scenario"
"ICEV-G",2005,431313,"Private car","Default"
"ICEV-D",2005,6,"Private car","Default"
"HEV-G",2005,347,"Private car","Default"
"CNG",2005,196,"Private car","Default"
"PHEV",2005,0,"Private car","Default"
"BEV",2005,1,"Private car","Default"
"ICEV-G",2006,464890,"Private car","Default"
"ICEV-D",2006,7,"Private car","Default"
"HEV-G",2006,374,"Private car","Default"
"CNG",2006,211,"Private car","Default"
"PHEV",2006,0,"Private car","Default"
"BEV",2006,1,"Private car","Default"
"ICEV-G",2007,504699,"Private car","Default"
"ICEV-D",2007,4,"Private car","Default"
"HEV-G",2007,1039,"Private car","Default"
"CNG",2007,244,"Private car","Default"
"PHEV",2007,0,"Private car","Default"
"BEV",2007,1,"Private car","Default"
"ICEV-G",2008,536075,"Private car","Default"
"ICEV-D",2008,17,"Private car","Default"
"HEV-G",2008,1963,"Private car","Default"
"CNG",2008,2400,"Private car","Default"
"PHEV",2008,0,"Private car","Default"
"BEV",2008,1,"Private car","Default"
"ICEV-G",2009,561345,"Private car","Default"
"ICEV-D",2009,42,"Private car","Default"
"HEV-G",2009,2590,"Private car","Default"
"CNG",2009,2630,"Private car","Default"
"PHEV",2009,0,"Private car","Default"
"BEV",2009,1,"Private car","Default"
"ICEV-G",2010,578359,"Private car","Default"
"ICEV-D",2010,135,"Private car","Default"
"HEV-G",2010,3245,"Private car","Default"
"CNG",2010,2657,"Private car","Default"
"PHEV",2010,0,"Private car","Default"
"BEV",2010,2,"Private car","Default"
"ICEV-G",2011,585713,"Private car","Default"
"ICEV-D",2011,339,"Private car","Default"
"HEV-G",2011,3715,"Private car","Default"
"CNG",2011,2592,"Private car","Default"
"PHEV",2011,0,"Private car","Default"
"BEV",2011,2,"Private car","Default"
"ICEV-G",2012,597527,"Private car","Default"
"ICEV-D",2012,667,"Private car","Default"
"HEV-G",2012,4590,"Private car","Default"
"CNG",2012,2363,"Private car","Default"
"PHEV",2012,0,"Private car","Default"
"BEV",2012,3,"Private car","Default"
"ICEV-G",2013,598798,"Private car","Default"
"ICEV-D",2013,1380,"Private car","Default"
"HEV-G",2013,4912,"Private car","Default"
"CNG",2013,2203,"Private car","Default"
"PHEV",2013,0,"Private car","Default"
"BEV",2013,0,"Private car","Default"
"ICEV-G",2014,589374,"Private car","Default"
"ICEV-D",2014,3121,"Private car","Default"
"HEV-G",2014,5591,"Private car","Default"
"CNG",2014,2044,"Private car","Default"
"PHEV",2014,46,"Private car","Default"
"BEV",2014,1,"Private car","Default"
"ICEV-G",2015,561587,"Private car","Default"
"ICEV-D",2015,5709,"Private car","Default"
"HEV-G",2015,6108,"Private car","Default"
"CNG",2015,1846,"Private car","Default"
"PHEV",2015,103,"Private car","Default"
"BEV",2015,1,"Private car","Default"
"ICEV-G",2016,531956,"Private car","Default"
"ICEV-D",2016,9522,"Private car","Default"
"HEV-G",2016,9277,"Private car","Default"
"CNG",2016,1546,"Private car","Default"
"PHEV",2016,115,"Private car","Default"
"BEV",2016,11,"Private car","Default"
"ICEV-G",2017,512941,"Private car","Default"
"ICEV-D",2017,13853,"Private car","Default"
"HEV-G",2017,18549,"Private car","Default"
"CNG",2017,899,"Private car","Default"
"PHEV",2017,184,"Private car","Default"
"BEV",2017,280,"Private car","Default"
