"Mode","Year","Value","Unit","Scenario"
"Public bus",2028,7210645.33751195,"thousand passenger","PT_Constant"
"School bus",2028,3148017.03904882,"thousand passenger","PT_Constant"
"Private bus",2028,1764333.12119301,"thousand passenger","PT_Constant"
"MRT",2028,24012578.7482531,"thousand passenger","PT_Constant"
"LRT",2028,291918.339633184,"thousand passenger","PT_Constant"
"Private car",2029,12800361.8041686,"thousand passenger","PT_Constant"
"Private hire car",2029,1631199.68292334,"thousand passenger","PT_Constant"
"Taxi",2029,1641235.95610501,"thousand passenger","PT_Constant"
"Motorcycle",2029,1378377.28041598,"thousand passenger","PT_Constant"
"Public bus",2029,7300517.90078648,"thousand passenger","PT_Constant"
"School bus",2029,3037671.42933774,"thousand passenger","PT_Constant"
"Private bus",2029,1702488.97880859,"thousand passenger","PT_Constant"
"MRT",2029,25017331.4615493,"thousand passenger","PT_Constant"
"LRT",2029,308631.648255142,"thousand passenger","PT_Constant"
"Private car",2030,12324737.629908,"thousand passenger","PT_Constant"
"Private hire car",2030,1570589.05221508,"thousand passenger","PT_Constant"
"Taxi",2030,1580252.4067076,"thousand passenger","PT_Constant"
"Motorcycle",2030,1327160.79405041,"thousand passenger","PT_Constant"
"Public bus",2030,7388162.18443643,"thousand passenger","PT_Constant"
"School bus",2030,2924800.40370912,"thousand passenger","PT_Constant"
"Private bus",2030,1639229.44543587,"thousand passenger","PT_Constant"
"MRT",2030,26021986.0467901,"thousand passenger","PT_Constant"
"LRT",2030,325390.457805481,"thousand passenger","PT_Constant"
"Private car",2031,12383577.879819,"thousand passenger","PT_Constant"
"Private hire car",2031,1578087.29316063,"thousand passenger","PT_Constant"
"Taxi",2031,1587796.78203836,"thousand passenger","PT_Constant"
"Motorcycle",2031,1333496.86992797,"thousand passenger","PT_Constant"
"Public bus",2031,7423434.44112613,"thousand passenger","PT_Constant"
"School bus",2031,2938763.86417878,"thousand passenger","PT_Constant"
"Private bus",2031,1647055.38649257,"thousand passenger","PT_Constant"
"MRT",2031,26146219.1305402,"thousand passenger","PT_Constant"
"LRT",2031,326943.923398897,"thousand passenger","PT_Constant"
"Private car",2032,12437513.7915542,"thousand passenger","PT_Constant"
"Private hire car",2032,1584960.55529703,"thousand passenger","PT_Constant"
"Taxi",2032,1594712.33325632,"thousand passenger","PT_Constant"
"Motorcycle",2032,1339304.83352085,"thousand passenger","PT_Constant"
"Public bus",2032,7455766.75321517,"thousand passenger","PT_Constant"
"School bus",2032,2951563.46942432,"thousand passenger","PT_Constant"
"Private bus",2032,1654229.03491721,"thousand passenger","PT_Constant"
"MRT",2032,26260097.3796958,"thousand passenger","PT_Constant"
"LRT",2032,328367.907546771,"thousand passenger","PT_Constant"
"Private car",2033,12486433.1872342,"thousand passenger","PT_Constant"
"Private hire car",2033,1591194.54336258,"thousand passenger","PT_Constant"
"Taxi",2033,1600984.67714544,"thousand passenger","PT_Constant"
"Motorcycle",2033,1344572.60521422,"thousand passenger","PT_Constant"
"Public bus",2033,7485091.87477969,"thousand passenger","PT_Constant"
"School bus",2033,2963172.59835918,"thousand passenger","PT_Constant"
"Private bus",2033,1660735.47069373,"thousand passenger","PT_Constant"
"MRT",2033,26363383.9461141,"thousand passenger","PT_Constant"
"LRT",2033,329659.448594852,"thousand passenger","PT_Constant"
"Private car",2034,12530206.1766823,"thousand passenger","PT_Constant"
