"Mode","Year","Value","Unit","Scenario"
"Private car",2019,9685462.5,"thousand km","PC_Constant"
"Private hire car",2019,2699935,"thousand km","PC_Constant"
"Taxi",2019,1241850,"thousand km","PC_Constant"
"Motorcycle",2019,1825174,"thousand km","PC_Constant"
"Public bus",2019,343915.173841493,"thousand km","PC_Constant"
"School bus",2019,446924.8,"thousand km","PC_Constant"
"Private bus",2019,150289.7,"thousand km","PC_Constant"
"MRT",2019,40700,"thousand km","PC_Constant"
"LRT",2019,7302,"thousand km","PC_Constant"
"Private car",2020,9953405.08150856,"thousand km","PC_Constant"
"Private hire car",2020,2774627.10208654,"thousand km","PC_Constant"
"Taxi",2020,1237035.6866038,"thousand km","PC_Constant"
"Motorcycle",2020,1818098.29871676,"thousand km","PC_Constant"
"Public bus",2020,342581.908609315,"thousand km","PC_Constant"
"School bus",2020,445192.194571218,"thousand km","PC_Constant"
"Private bus",2020,149707.067865668,"thousand km","PC_Constant"
"MRT",2020,40542.2172120424,"thousand km","PC_Constant"
"LRT",2020,7273.69213961507,"thousand km","PC_Constant"
"Private car",2021,10224945.4456551,"thousand km","PC_Constant"
"Private hire car",2021,2850322.12780906,"thousand km","PC_Constant"
"Taxi",2021,1232062.14670097,"thousand km","PC_Constant"
"Motorcycle",2021,1810788.5787678,"thousand km","PC_Constant"
"Public bus",2021,341204.547542928,"thousand km","PC_Constant"
"School bus",2021,443402.285704312,"thousand km","PC_Constant"
"Private bus",2021,149105.166009618,"thousand km","PC_Constant"
"MRT",2021,40379.2159848044,"thousand km","PC_Constant"
"LRT",2021,7244.44803737203,"thousand km","PC_Constant"
"Private car",2022,10500443.8618629,"thousand km","PC_Constant"
"Private hire car",2022,2927120.50644757,"thousand km","PC_Constant"
"Taxi",2022,1226965.00822919,"thousand km","PC_Constant"
"Motorcycle",2022,1803297.20330935,"thousand km","PC_Constant"
"Public bus",2022,339792.957364071,"thousand km","PC_Constant"
"School bus",2022,441567.895405911,"thousand km","PC_Constant"
"Private bus",2022,148488.306153934,"thousand km","PC_Constant"
"MRT",2022,40212.1639770731,"thousand km","PC_Constant"
"LRT",2022,7214.47718330683,"thousand km","PC_Constant"
"Private car",2023,10778778.7056758,"thousand km","PC_Constant"
"Private hire car",2023,3004709.57217673,"thousand km","PC_Constant"
"Taxi",2023,1221607.35489791,"thousand km","PC_Constant"
"Motorcycle",2023,1795422.94348627,"thousand km","PC_Constant"
"Public bus",2023,338309.220780094,"thousand km","PC_Constant"
"School bus",2023,439639.749378971,"thousand km","PC_Constant"
"Private bus",2023,147839.918577445,"thousand km","PC_Constant"
"MRT",2023,40036.5739375486,"thousand km","PC_Constant"
"LRT",2023,7182.97451823047,"thousand km","PC_Constant"
"Private car",2024,11057680.5342481,"thousand km","PC_Constant"
"Private hire car",2024,3082456.69148327,"thousand km","PC_Constant"
"Taxi",2024,1215741.97680778,"thousand km","PC_Constant"
"Motorcycle",2024,1786802.46952382,"thousand km","PC_Constant"
"Public bus",2024,336684.876031925,"thousand km","PC_Constant"
"School bus",2024,437528.88016783,"thousand km","PC_Constant"
"Private bus",2024,147130.08573648,"thousand km","PC_Constant"
"MRT",2024,39844.3438870044,"thousand km","PC_Constant"
"LRT",2024,7148.48646346207,"thousand km","PC_Constant"
"Private car",2025,11335263.3638002,"thousand km","PC_Constant"
"Private hire car",2025,3159836.12451566,"thousand km","PC_Constant"
"Taxi",2025,1209192.09442095,"thousand km","PC_Constant"
"Motorcycle",2025,1777175.96468387,"thousand km","PC_Constant"
"Public bus",2025,334870.966187977,"thousand km","PC_Constant"
"School bus",2025,435171.667238929,"thousand km","PC_Constant"
"Private bus",2025,146337.413627166,"thousand km","PC_Constant"
"MRT",2025,39629.6801086545,"thousand km","PC_Constant"
"LRT",2025,7109.97356642249,"thousand km","PC_Constant"
"Private car",2026,11611375.9032406,"thousand km","PC_Constant"
"Private hire car",2026,3236805.69712763,"thousand km","PC_Constant"
"Taxi",2026,1201982.63858538,"thousand km","PC_Constant"
"Motorcycle",2026,1766580.07037681,"thousand km","PC_Constant"
"Public bus",2026,332874.395541771,"thousand km","PC_Constant"
"School bus",2026,432577.082862861,"thousand km","PC_Constant"
"Private bus",2026,145464.919401059,"thousand km","PC_Constant"
"MRT",2026,39393.3996782422,"thousand km","PC_Constant"
"LRT",2026,7067.58241893181,"thousand km","PC_Constant"
"Private car",2027,11886530.1205146,"thousand km","PC_Constant"
"Private hire car",2027,3313508.12632145,"thousand km","PC_Constant"
"Taxi",2027,1194204.27282644,"thousand km","PC_Constant"
"Motorcycle",2027,1755148.03676106,"thousand km","PC_Constant"
"Public bus",2027,330720.272248144,"thousand km","PC_Constant"
