"Mode","Year","Value","Unit","Scenario"
"Private hire car",2029,2038999.60365418,"thousand km","PT_Constant"
"Taxi",2029,937849.117774294,"thousand km","PT_Constant"
"Motorcycle",2029,1378377.28041598,"thousand km","PT_Constant"
"Public bus",2029,395993.063238932,"thousand km","PT_Constant"
"School bus",2029,337519.047704194,"thousand km","PT_Constant"
"Private bus",2029,113499.265253906,"thousand km","PT_Constant"
"MRT",2029,66990.1924812772,"thousand km","PT_Constant"
"LRT",2029,15324.9836974661,"thousand km","PT_Constant"
"Private car",2030,7042707.21709026,"thousand km","PT_Constant"
"Private hire car",2030,1963236.31526885,"thousand km","PT_Constant"
"Taxi",2030,903001.375261484,"thousand km","PT_Constant"
"Motorcycle",2030,1327160.79405041,"thousand km","PT_Constant"
"Public bus",2030,400747.044919353,"thousand km","PT_Constant"
"School bus",2030,324977.822634347,"thousand km","PT_Constant"
"Private bus",2030,109281.963029058,"thousand km","PT_Constant"
"MRT",2030,69680.4076285609,"thousand km","PT_Constant"
"LRT",2030,16157.135826387,"thousand km","PT_Constant"
"Private car",2031,7076330.21703941,"thousand km","PT_Constant"
"Private hire car",2031,1972609.11645079,"thousand km","PT_Constant"
"Taxi",2031,907312.446879061,"thousand km","PT_Constant"
"Motorcycle",2031,1333496.86992797,"thousand km","PT_Constant"
"Public bus",2031,402660.274797524,"thousand km","PT_Constant"
"School bus",2031,326529.318242086,"thousand km","PT_Constant"
"Private bus",2031,109803.692432838,"thousand km","PT_Constant"
"MRT",2031,70013.0729332418,"thousand km","PT_Constant"
"LRT",2031,16234.2725524106,"thousand km","PT_Constant"
"Private car",2032,7107150.738031,"thousand km","PT_Constant"
"Private hire car",2032,1981200.69412129,"thousand km","PT_Constant"
"Taxi",2032,911264.190432185,"thousand km","PT_Constant"
"Motorcycle",2032,1339304.83352085,"thousand km","PT_Constant"
"Public bus",2032,404414.036856563,"thousand km","PT_Constant"
"School bus",2032,327951.496602703,"thousand km","PT_Constant"
"Private bus",2032,110281.935661147,"thousand km","PT_Constant"
"MRT",2032,70318.0105658623,"thousand km","PT_Constant"
"LRT",2032,16304.9799279341,"thousand km","PT_Constant"
"Private car",2033,7135104.67841952,"thousand km","PT_Constant"
"Private hire car",2033,1988993.17920322,"thousand km","PT_Constant"
"Taxi",2033,914848.386940249,"thousand km","PT_Constant"
"Motorcycle",2033,1344572.60521422,"thousand km","PT_Constant"
"Public bus",2033,406004.683558071,"thousand km","PT_Constant"
"School bus",2033,329241.399817686,"thousand km","PT_Constant"
"Private bus",2033,110715.698046249,"thousand km","PT_Constant"
"MRT",2033,70594.5863059939,"thousand km","PT_Constant"
"LRT",2033,16369.1108931749,"thousand km","PT_Constant"
"Private car",2034,7160117.81524703,"thousand km","PT_Constant"
"Private hire car",2034,1995965.88118626,"thousand km","PT_Constant"
"Taxi",2034,918055.519688866,"thousand km","PT_Constant"
"Motorcycle",2034,1349286.1980856,"thousand km","PT_Constant"
"Public bus",2034,407427.991436534,"thousand km","PT_Constant"
"School bus",2034,330395.602951921,"thousand km","PT_Constant"
"Private bus",2034,111103.827867604,"thousand km","PT_Constant"
"MRT",2034,70842.0657931406,"thousand km","PT_Constant"
"LRT",2034,16426.4951683845,"thousand km","PT_Constant"
"Private car",2035,7182144.04031239,"thousand km","PT_Constant"
"Private hire car",2035,2002105.94687459,"thousand km","PT_Constant"
"Taxi",2035,920879.676779704,"thousand km","PT_Constant"
"Motorcycle",2035,1353436.92328922,"thousand km","PT_Constant"
"Public bus",2035,408681.336823979,"thousand km","PT_Constant"
"School bus",2035,331411.978394197,"thousand km","PT_Constant"
"Private bus",2035,111445.609662454,"thousand km","PT_Constant"
"MRT",2035,71059.9928336611,"thousand km","PT_Constant"
"LRT",2035,16477.0269737192,"thousand km","PT_Constant"
"Private car",2036,7201194.59951831,"thousand km","PT_Constant"
