"Mode","Year","Value","Unit","Scenario"
"Private car",2019,16949559.375,"thousand passenger","PC_Constant"
"Private hire car",2019,2159948,"thousand passenger","PC_Constant"
"Taxi",2019,2173237.5,"thousand passenger","PC_Constant"
"Motorcycle",2019,1825174,"thousand passenger","PC_Constant"
"Public bus",2019,6340411.275,"thousand passenger","PC_Constant"
"School bus",2019,4022323.2,"thousand passenger","PC_Constant"
"Private bus",2019,2254345.5,"thousand passenger","PC_Constant"
"MRT",2019,15199320.2701967,"thousand passenger","PC_Constant"
"LRT",2019,147055.836407296,"thousand passenger","PC_Constant"
"Private car",2020,17418458.89264,"thousand passenger","PC_Constant"
"Private hire car",2020,2219701.68166923,"thousand passenger","PC_Constant"
"Taxi",2020,2164812.45155666,"thousand passenger","PC_Constant"
"Motorcycle",2020,1818098.29871676,"thousand passenger","PC_Constant"
"Public bus",2020,6315831.23156591,"thousand passenger","PC_Constant"
"School bus",2020,4006729.75114097,"thousand passenger","PC_Constant"
"Private bus",2020,2245606.01798502,"thousand passenger","PC_Constant"
"MRT",2020,15140396.6552755,"thousand passenger","PC_Constant"
"LRT",2020,146485.741079193,"thousand passenger","PC_Constant"
"Private car",2021,17893654.5298965,"thousand passenger","PC_Constant"
"Private hire car",2021,2280257.70224725,"thousand passenger","PC_Constant"
"Taxi",2021,2156108.75672669,"thousand passenger","PC_Constant"
"Motorcycle",2021,1810788.5787678,"thousand passenger","PC_Constant"
"Public bus",2021,6290438.23846963,"thousand passenger","PC_Constant"
"School bus",2021,3990620.57133881,"thousand passenger","PC_Constant"
"Private bus",2021,2236577.49014427,"thousand passenger","PC_Constant"
"MRT",2021,15079524.2263511,"thousand passenger","PC_Constant"
"LRT",2021,145896.790666247,"thousand passenger","PC_Constant"
"Private car",2022,18375776.7582602,"thousand passenger","PC_Constant"
"Private hire car",2022,2341696.40515806,"thousand passenger","PC_Constant"
"Taxi",2022,2147188.76440109,"thousand passenger","PC_Constant"
"Motorcycle",2022,1803297.20330935,"thousand passenger","PC_Constant"
"Public bus",2022,6264414.19833865,"thousand passenger","PC_Constant"
"School bus",2022,3974111.0586532,"thousand passenger","PC_Constant"
"Private bus",2022,2227324.59230901,"thousand passenger","PC_Constant"
"MRT",2022,15017139.0428797,"thousand passenger","PC_Constant"
"LRT",2022,145293.204112919,"thousand passenger","PC_Constant"
"Private car",2023,18862862.7349326,"thousand passenger","PC_Constant"
"Private hire car",2023,2403767.65774138,"thousand passenger","PC_Constant"
"Taxi",2023,2137812.87107133,"thousand passenger","PC_Constant"
"Motorcycle",2023,1795422.94348627,"thousand passenger","PC_Constant"
"Public bus",2023,6237060.0689436,"thousand passenger","PC_Constant"
"School bus",2023,3956757.74441074,"thousand passenger","PC_Constant"
"Private bus",2023,2217598.77866167,"thousand passenger","PC_Constant"
"MRT",2023,14951565.3513074,"thousand passenger","PC_Constant"
"LRT",2023,144658.768237562,"thousand passenger","PC_Constant"
"Private car",2024,19350940.9349342,"thousand passenger","PC_Constant"
"Private hire car",2024,2465965.35318661,"thousand passenger","PC_Constant"
"Taxi",2024,2127548.45941361,"thousand passenger","PC_Constant"
"Motorcycle",2024,1786802.46952382,"thousand passenger","PC_Constant"
"Public bus",2024,6207113.69105996,"thousand passenger","PC_Constant"
"School bus",2024,3937759.92151047,"thousand passenger","PC_Constant"
"Private bus",2024,2206951.2860472,"thousand passenger","PC_Constant"
"MRT",2024,14879777.4863498,"thousand passenger","PC_Constant"
"LRT",2024,143964.20924824,"thousand passenger","PC_Constant"
"Private car",2025,19836710.8866503,"thousand passenger","PC_Constant"
"Private hire car",2025,2527868.89961253,"thousand passenger","PC_Constant"
"Taxi",2025,2116086.16523666,"thousand passenger","PC_Constant"
"Motorcycle",2025,1777175.96468387,"thousand passenger","PC_Constant"
"Public bus",2025,6173672.49595961,"thousand passenger","PC_Constant"
"School bus",2025,3916545.00515036,"thousand passenger","PC_Constant"
"Private bus",2025,2195061.20440749,"thousand passenger","PC_Constant"
"MRT",2025,14799611.7979579,"thousand passenger","PC_Constant"
"LRT",2025,143188.593487267,"thousand passenger","PC_Constant"
"Private car",2026,20319907.8306711,"thousand passenger","PC_Constant"
"Private hire car",2026,2589444.5577021,"thousand passenger","PC_Constant"
"Taxi",2026,2103469.61752442,"thousand passenger","PC_Constant"
"Motorcycle",2026,1766580.07037681,"thousand passenger","PC_Constant"
"Public bus",2026,6136863.77101986,"thousand passenger","PC_Constant"
"School bus",2026,3893193.74576575,"thousand passenger","PC_Constant"
"Private bus",2026,2181973.79101589,"thousand passenger","PC_Constant"
"MRT",2026,14711373.4211663,"thousand passenger","PC_Constant"
"LRT",2026,142334.873184541,"thousand passenger","PC_Constant"
"Private car",2027,20801427.7109006,"thousand passenger","PC_Constant"
"Private hire car",2027,2650806.50105716,"thousand passenger","PC_Constant"
"Taxi",2027,2089857.47744626,"thousand passenger","PC_Constant"
"Motorcycle",2027,1755148.03676106,"thousand passenger","PC_Constant"
"Public bus",2027,6097150.4095357,"thousand passenger","PC_Constant"
"School bus",2027,3867999.80040174,"thousand passenger","PC_Constant"
"Private bus",2027,2167853.62847932,"thousand passenger","PC_Constant"
"MRT",2027,14616172.0100869,"thousand passenger","PC_Constant"
"LRT",2027,141413.784419743,"thousand passenger","PC_Constant"
"Private car",2028,21280405.4495565,"thousand passenger","PC_Constant"
"Private hire car",2028,2711844.4894653,"thousand passenger","PC_Constant"
"Taxi",2028,2075221.53429344,"thousand passenger","PC_Constant"
"Motorcycle",2028,1742856.17132619,"thousand passenger","PC_Constant"
"Public bus",2028,6054450.1068829,"thousand passenger","PC_Constant"
"School bus",2028,3840910.95544233,"thousand passenger","PC_Constant"
"Private bus",2028,2152671.45322935,"thousand passenger","PC_Constant"
"MRT",2028,14513810.2629533,"thousand passenger","PC_Constant"
"LRT",2028,140423.418266965,"thousand passenger","PC_Constant"
"Private car",2029,21755849.032749,"thousand passenger","PC_Constant"
"Private hire car",2029,2772432.10675428,"thousand passenger","PC_Constant"
"Taxi",2029,2059527.75311655,"thousand passenger","PC_Constant"
"Motorcycle",2029,1729675.89012556,"thousand passenger","PC_Constant"
"Public bus",2029,6008663.56623958,"thousand passenger","PC_Constant"
"School bus",2029,3811864.21751169,"thousand passenger","PC_Constant"
"Private bus",2029,2136391.96008876,"thousand passenger","PC_Constant"
"MRT",2029,14404050.1440717,"thousand passenger","PC_Constant"
"LRT",2029,139361.471693081,"thousand passenger","PC_Constant"
"Private car",2030,22226898.2678567,"thousand passenger","PC_Constant"
"Private hire car",2030,2832459.73524669,"thousand passenger","PC_Constant"
"Taxi",2030,2042761.30899555,"thousand passenger","PC_Constant"
"Motorcycle",2030,1715594.74258319,"thousand passenger","PC_Constant"
"Public bus",2030,5959747.5359638,"thousand passenger","PC_Constant"
"School bus",2030,3780832.14799816,"thousand passenger","PC_Constant"
"Private bus",2030,2118999.77085257,"thousand passenger","PC_Constant"
"MRT",2030,14286787.9700169,"thousand passenger","PC_Constant"
"LRT",2030,138226.941544494,"thousand passenger","PC_Constant"
"Private car",2031,22333013.0013382,"thousand passenger","PC_Constant"
"Private hire car",2031,2845982.34673663,"thousand passenger","PC_Constant"
"Taxi",2031,2052513.77509577,"thousand passenger","PC_Constant"
"Motorcycle",2031,1723785.26366614,"thousand passenger","PC_Constant"
"Public bus",2031,5988200.31483446,"thousand passenger","PC_Constant"
"School bus",2031,3798882.43962628,"thousand passenger","PC_Constant"
"Private bus",2031,2129116.21144728,"thousand passenger","PC_Constant"
"MRT",2031,14354995.3590766,"thousand passenger","PC_Constant"
"LRT",2031,138886.858861126,"thousand passenger","PC_Constant"
"Private car",2032,22430283.0657503,"thousand passenger","PC_Constant"
"Private hire car",2032,2858377.84779,"thousand passenger","PC_Constant"
"Taxi",2032,2061453.37259202,"thousand passenger","PC_Constant"
"Motorcycle",2032,1731293.10435112,"thousand passenger","PC_Constant"
"Public bus",2032,6014281.55296842,"thousand passenger","PC_Constant"
"School bus",2032,3815428.23842085,"thousand passenger","PC_Constant"
"Private bus",2032,2138389.4461432,"thousand passenger","PC_Constant"
"MRT",2032,14417517.6583799,"thousand passenger","PC_Constant"
"LRT",2032,139491.772031893,"thousand passenger","PC_Constant"
"Private car",2033,22518506.1552597,"thousand passenger","PC_Constant"
"Private hire car",2033,2869620.45779086,"thousand passenger","PC_Constant"
"Taxi",2033,2069561.50858283,"thousand passenger","PC_Constant"
"Motorcycle",2033,1738102.64955678,"thousand passenger","PC_Constant"
"Public bus",2033,6037937.00565382,"thousand passenger","PC_Constant"
"School bus",2033,3830435.13182509,"thousand passenger","PC_Constant"
"Private bus",2033,2146800.18812804,"thousand passenger","PC_Constant"
"MRT",2033,14474224.8317646,"thousand passenger","PC_Constant"
"LRT",2033,140040.422936284,"thousand passenger","PC_Constant"
